panel,outcome,weight_col,event_month,high_tag,value,weight_sum,n_rows
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-35,0,0.20739182142530413,10931.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-35,1,0.19678409359179497,38123.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-34,0,0.21011375585508074,10461.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-34,1,0.19492597080984242,37958.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-33,0,0.2017949173627155,11254.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-33,1,0.19421380077117778,42273.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-32,0,0.2137205253995885,12638.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-32,1,0.19695577483919932,50062.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-31,0,0.20064799814857673,12963.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-31,1,0.1940900453716989,51574.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-30,0,0.19991677070328756,12015.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-30,1,0.19509127874075158,47711.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-29,0,0.20846259910375733,11604.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-29,1,0.19458207322566112,46623.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-28,0,0.2204248684466965,10262.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-28,1,0.19939091650280558,41702.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-27,0,0.2097652975691534,9544.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-27,1,0.19394832448362587,39361.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-26,0,0.21606158327265157,9613.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-26,1,0.1983170969923117,39931.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-25,0,0.21279283417547082,8708.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-25,1,0.19435924096698717,38470.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-24,0,0.21107187606788927,8779.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-24,1,0.19128622162746406,38858.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-23,0,0.20937598986379474,9471.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-23,1,0.19294451073985674,40224.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-22,0,0.21294797687861267,8650.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-22,1,0.1948619036138123,37329.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-21,0,0.2128845756762337,9686.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-21,1,0.19509119130772212,41232.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-20,0,0.20498491114340003,8947.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-20,1,0.19236037526167518,38693.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-19,0,0.20461451885199772,8885.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-19,1,0.1935450122927237,38234.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-18,0,0.20698137519034784,8537.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-18,1,0.18891722190233334,36471.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-17,0,0.2065230329722652,8401.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-17,1,0.19328787794109425,35786.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-16,0,0.20822715689843466,8241.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-16,1,0.19562662998309116,34893.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-15,0,0.207558937258326,8017.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-15,1,0.19331941544885173,33530.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-14,0,0.21890678637443886,7574.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-14,1,0.19279945161386458,33553.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-13,0,0.21512471954599446,7577.0,8
p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,accepted_vote_30d_denom,-13,1,0.19308151802430978,33649.0,8
