specification,dropped_tag_a,dropped_tag_b,coef,se,pval
expert_answer_share,android,apache-spark,-0.009000357099889457,0.018723182193761418,0.6307250455343341
expert_answer_share,android,bash,-0.010973745594349582,0.01876116562584238,0.558602778835741
expert_answer_share,android,docker,0.009558247048109309,0.030129386600997295,0.7510614894576958
expert_answer_share,android,excel,-0.011124930339163234,0.018670640792073832,0.5512743994288577
expert_answer_share,android,firebase,-0.007855416182115485,0.020612085497182447,0.7031236333301774
expert_answer_share,android,javascript,-0.007769183726692331,0.018824352304677733,0.6798118850030859
expert_answer_share,android,kubernetes,-0.025483253694947458,0.009667261164592485,0.008388069774661834
expert_answer_share,android,linux,-0.0072347791980981345,0.0195300774148459,0.7110524880810964
expert_answer_share,android,memory-management,-0.009561182990760246,0.018806853078303685,0.6111810963721882
expert_answer_share,android,multithreading,-0.005258812763691563,0.01991892219837686,0.7917715124360079
expert_answer_share,android,numpy,-0.010523116828009651,0.01861371493378038,0.5718410934371733
expert_answer_share,android,pandas,-0.012388610581607964,0.018538809826986132,0.5039722710698393
expert_answer_share,android,python,-0.007839298682428332,0.01794872394163369,0.6622848444391318
expert_answer_share,android,regex,-0.013547362366931867,0.019243748543866703,0.48144043063192543
expert_answer_share,android,sql,-0.012660149907809634,0.019207275386873852,0.5098103375669116
expert_answer_share,apache-spark,bash,-0.0062182892969718,0.0164503947253663,0.7054287835478307
expert_answer_share,apache-spark,docker,0.01167349403807935,0.018937247998980954,0.5376105405877447
expert_answer_share,apache-spark,excel,-0.006127765051564579,0.016519132525403334,0.7106750958688068
expert_answer_share,apache-spark,firebase,-0.002841409987450224,0.017830743725060223,0.8733895519540886
expert_answer_share,apache-spark,javascript,-0.0018247456983029083,0.017683101879571554,0.9178109908212267
expert_answer_share,apache-spark,kubernetes,-0.015737690412233732,0.01223653163813285,0.19839997772092988
expert_answer_share,apache-spark,linux,-0.002752867490561568,0.017102506510487014,0.8721226926653051
expert_answer_share,apache-spark,memory-management,-0.004464967053810675,0.016699160789752702,0.7891791119880578
expert_answer_share,apache-spark,multithreading,-0.0009629202717664023,0.01737322061240199,0.9557994428113229
expert_answer_share,apache-spark,numpy,-0.005291702811130967,0.016556694541736083,0.7492631837317976
expert_answer_share,apache-spark,pandas,-0.006938392380540149,0.01645978772020487,0.673363759934827
expert_answer_share,apache-spark,python,-0.0008033624994522112,0.01686770513093831,0.9620133100440568
expert_answer_share,apache-spark,regex,-0.00764230415173396,0.017130225960613726,0.6555034934550236
expert_answer_share,apache-spark,sql,-0.007176263556768755,0.017211670806439174,0.6767210398532155
expert_answer_share,bash,docker,0.008610963509361746,0.01921429757381047,0.6540420886302042
expert_answer_share,bash,excel,-0.008715034541074723,0.016265432034651906,0.5920960998618802
expert_answer_share,bash,firebase,-0.005229253443224735,0.017572400826162387,0.7660212040069185
expert_answer_share,bash,javascript,-0.005430029624713718,0.0171014011964782,0.75084938931326
expert_answer_share,bash,kubernetes,-0.0182120052416619,0.011945699933180743,0.12736744008068643
expert_answer_share,bash,linux,-0.005153359532601062,0.016856601235658596,0.7598196780314356
expert_answer_share,bash,memory-management,-0.006905626318041009,0.016434789707952688,0.6743514582736551
expert_answer_share,bash,multithreading,-0.0033970666260498784,0.017088224556546107,0.8424225110759305
expert_answer_share,bash,numpy,-0.007750728238641323,0.01629692307435608,0.6343632395003502
expert_answer_share,bash,pandas,-0.009500825054945223,0.0161887841372309,0.5572863184068659
expert_answer_share,bash,python,-0.004091190839151712,0.01621266222628464,0.8007740941596901
expert_answer_share,bash,regex,-0.010475562326980629,0.016722747941684584,0.5310356298824817
expert_answer_share,bash,sql,-0.010305962923031082,0.016672864444112177,0.5364910230029307
expert_answer_share,docker,excel,0.008462450052071894,0.019335879307289357,0.6616361776293782
expert_answer_share,docker,firebase,0.015999304010742454,0.019322010534900524,0.40765059029201967
expert_answer_share,docker,javascript,0.013576515649336391,0.019381595017407997,0.483624499714989
expert_answer_share,docker,kubernetes,-0.007082647440051821,0.018287595511877967,0.6985397236181456
expert_answer_share,docker,linux,0.014755763821801719,0.01832778170372572,0.42075987361615397
expert_answer_share,docker,memory-management,0.010873848915268772,0.01906017756103038,0.5683379954099741
expert_answer_share,docker,multithreading,0.018334806824153147,0.01689477820665361,0.2778175286830449
expert_answer_share,docker,numpy,0.009413777568242666,0.01922983639400172,0.6244593155437255
expert_answer_share,docker,pandas,0.007097244837118437,0.01979493062453619,0.7199403575365457
expert_answer_share,docker,python,0.01297618334895233,0.019385920132495817,0.5032650766108191
expert_answer_share,docker,regex,0.006953211907694323,0.021594652440841057,0.747462032487007
expert_answer_share,docker,sql,0.007565213608950036,0.020993560819069133,0.7185788602698563
expert_answer_share,excel,firebase,-0.005227655409024924,0.017585021293033107,0.7662536056271927
expert_answer_share,excel,javascript,-0.00503701271708553,0.01739091585185673,0.7720957165940985
expert_answer_share,excel,kubernetes,-0.0182428200283369,0.012031919922852569,0.12946830399191733
expert_answer_share,excel,linux,-0.005149194384816691,0.016869690107151624,0.7601883274261224
expert_answer_share,excel,memory-management,-0.006864829276329446,0.016479361770139228,0.6769920000374698
expert_answer_share,excel,multithreading,-0.0033731592614176134,0.017101948600560444,0.8436410605278017
expert_answer_share,excel,numpy,-0.007712458060015375,0.0163466499379786,0.6370648076068377
expert_answer_share,excel,pandas,-0.009474471806351564,0.016245132509389575,0.5597458047775442
expert_answer_share,excel,python,-0.0035133985598583867,0.016481863443759567,0.8311962726981497
expert_answer_share,excel,regex,-0.010437691856167549,0.01681379420377179,0.5347434178445636
expert_answer_share,excel,sql,-0.01023650737138745,0.016795864118576555,0.5422156320172091
expert_answer_share,firebase,javascript,-0.0015337433972372025,0.018492517183133206,0.9339003651967912
expert_answer_share,firebase,kubernetes,-0.015383416339258134,0.012977661762748543,0.2358685866307273
expert_answer_share,firebase,linux,-0.0015895615054084575,0.01836768295707461,0.931036198202332
expert_answer_share,firebase,memory-management,-0.0035236311733920556,0.017799692360061427,0.8430761806555774
expert_answer_share,firebase,multithreading,0.0003031599136870397,0.018729081920878143,0.9870855360975899
expert_answer_share,firebase,numpy,-0.0044008894238873305,0.017616647538400622,0.8027310065682811
expert_answer_share,firebase,pandas,-0.0061045717183269566,0.017490549343821677,0.7270734283107618
expert_answer_share,firebase,python,-0.0006433863691522576,0.01763429168780271,0.9708956735160469
expert_answer_share,firebase,regex,-0.006862764099158051,0.018188836958581613,0.7059459367380692
expert_answer_share,firebase,sql,-0.006464732771292117,0.018189409692969817,0.7222810305226295
expert_answer_share,javascript,kubernetes,-0.014340894982418466,0.01321735408150672,0.2779194502333203
expert_answer_share,javascript,linux,-0.0015603869127350511,0.01781054977749249,0.9301864465249782
expert_answer_share,javascript,memory-management,-0.003003311360100561,0.01748759208996109,0.863642283955498
expert_answer_share,javascript,multithreading,0.0004154959240670033,0.018124915028682676,0.9817108798232133
expert_answer_share,javascript,numpy,-0.0038708793289762753,0.017362478510535358,0.8235782429103972
expert_answer_share,javascript,pandas,-0.0056880318061494186,0.017326367311752983,0.742694207347758
expert_answer_share,javascript,python,0.007283796048308048,0.016804022169734326,0.6646838786570055
expert_answer_share,javascript,regex,-0.0062181824255945935,0.018345156762584917,0.734643637864939
expert_answer_share,javascript,sql,-0.0056489394617723525,0.018967826940200657,0.765842913478965
expert_answer_share,kubernetes,linux,-0.014561880519816047,0.012355304316858837,0.23856010818734086
expert_answer_share,kubernetes,memory-management,-0.016469780183371835,0.012171883643949553,0.1760235695483855
expert_answer_share,kubernetes,multithreading,-0.012785474541717865,0.01236822889553991,0.301259935817205
expert_answer_share,kubernetes,numpy,-0.01738919740623173,0.012072076598992605,0.149740719611031
