high_tags,coef,se,pval,is_observed_split
android;apache-spark;bash;docker;excel;firebase;javascript;kubernetes,-0.0018926658306059052,0.006267271663965997,0.7626581704598507,0
android;apache-spark;bash;docker;excel;firebase;javascript;linux,-0.0032470585974263555,0.006080962828537839,0.5933615077682095,0
android;apache-spark;bash;docker;excel;firebase;javascript;memory-management,-0.0038734764871397598,0.006084211593658559,0.5243567921032587,0
android;apache-spark;bash;docker;excel;firebase;javascript;multithreading,-0.0035216818069819106,0.006090777437410744,0.5631297313523755,0
android;apache-spark;bash;docker;excel;firebase;javascript;numpy,-0.0036653460179057323,0.006102898532694877,0.5481124245607834,0
android;apache-spark;bash;docker;excel;firebase;javascript;pandas,-0.002374936816820425,0.006225405281544022,0.7028388611127905,0
android;apache-spark;bash;docker;excel;firebase;javascript;python,-0.009259336479798631,0.007227412667476936,0.20014405819224812,0
android;apache-spark;bash;docker;excel;firebase;javascript;regex,-0.005034477046489724,0.005969294429757893,0.3990071954484987,0
android;apache-spark;bash;docker;excel;firebase;javascript;sql,-0.003459982625744956,0.005879997613084381,0.5562419223855259,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;linux,0.013603373586899219,0.005279214320732142,0.00997254157491567,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;memory-management,0.013378794658845394,0.005524520821949811,0.015447616230914502,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;multithreading,0.01364781730203652,0.005466513899064574,0.012538263166972563,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;numpy,0.013649344697386441,0.005553881666148479,0.013986009195773952,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;pandas,0.0151046261427936,0.005749496640712724,0.00861105853845961,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;python,0.009047797873192355,0.005102140287071527,0.0761734098264435,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;regex,0.01133237865857236,0.005488250195833218,0.038937794673356986,0
android;apache-spark;bash;docker;excel;firebase;kubernetes;sql,0.011834090076930426,0.005006532321235591,0.018091998129192773,0
android;apache-spark;bash;docker;excel;firebase;linux;memory-management,0.011350145725386184,0.005005275682738233,0.023351372377318866,0
android;apache-spark;bash;docker;excel;firebase;linux;multithreading,0.011654710760848497,0.004968208702132763,0.018983352262015214,0
android;apache-spark;bash;docker;excel;firebase;linux;numpy,0.011624541228147222,0.005027067992058284,0.0207562067050726,0
android;apache-spark;bash;docker;excel;firebase;linux;pandas,0.013130514161748003,0.005240815046190523,0.012230135604223057,0
android;apache-spark;bash;docker;excel;firebase;linux;python,0.007662913974854052,0.005437317633531628,0.15874092154693853,0
android;apache-spark;bash;docker;excel;firebase;linux;regex,0.009375654316160522,0.005117373576059985,0.06693319963296589,0
android;apache-spark;bash;docker;excel;firebase;linux;sql,0.010142134373237278,0.004709758197412028,0.031284903669214506,0
android;apache-spark;bash;docker;excel;firebase;memory-management;multithreading,0.011340758165586263,0.005164843517875061,0.02810910718941277,0
android;apache-spark;bash;docker;excel;firebase;memory-management;numpy,0.011314469314433761,0.005237223450628928,0.030742134354077015,0
android;apache-spark;bash;docker;excel;firebase;memory-management;pandas,0.012890279018829706,0.005480767383379552,0.018677225588672533,0
android;apache-spark;bash;docker;excel;firebase;memory-management;python,0.006940257435279672,0.005602431535926165,0.21542187163006588,0
android;apache-spark;bash;docker;excel;firebase;memory-management;regex,0.008936118140167974,0.005319313437957557,0.09296932954016685,0
android;apache-spark;bash;docker;excel;firebase;memory-management;sql,0.009709572728870214,0.00479983221532149,0.043083627417144846,0
android;apache-spark;bash;docker;excel;firebase;multithreading;numpy,0.01162394800550701,0.005190627900601778,0.025129201477584028,0
android;apache-spark;bash;docker;excel;firebase;multithreading;pandas,0.013168271666655625,0.005426024459655813,0.015229590614817701,0
android;apache-spark;bash;docker;excel;firebase;multithreading;python,0.0073243017011014044,0.005534526356775075,0.18570782562264765,0
android;apache-spark;bash;docker;excel;firebase;multithreading;regex,0.009286443994072774,0.005258998035425522,0.0774260493703934,0
android;apache-spark;bash;docker;excel;firebase;multithreading;sql,0.010028431146155606,0.004783677938117357,0.03604804319903662,0
android;apache-spark;bash;docker;excel;firebase;numpy;pandas,0.013166114065459044,0.005512196868612813,0.016915371991717415,0
android;apache-spark;bash;docker;excel;firebase;numpy;python,0.007155764418348122,0.005564931663869954,0.19848932966620236,0
android;apache-spark;bash;docker;excel;firebase;numpy;regex,0.00922181637119611,0.00532097492075049,0.0830767362749727,0
android;apache-spark;bash;docker;excel;firebase;numpy;sql,0.009956311944036969,0.0048126429198535456,0.038566491722705855,0
android;apache-spark;bash;docker;excel;firebase;pandas;python,0.008520804834273761,0.005276216716391259,0.10632239957064624,0
android;apache-spark;bash;docker;excel;firebase;pandas;regex,0.010818649906334625,0.005460905444983133,0.04757903107096781,0
android;apache-spark;bash;docker;excel;firebase;pandas;sql,0.011364449256987472,0.004972445455470598,0.022284407863735256,0
