primary_tag,month_id,any_answer_7d_num,any_answer_7d_denom,first_positive_answer_latency_sum,first_positive_answer_latency_denom,accepted_cond_any_answer_30d_num,accepted_cond_any_answer_30d_denom,any_answer_7d_rate,first_positive_answer_latency_mean,accepted_cond_any_answer_30d_rate,time_index,high_post,exposure_post,first_answer_1d_rate_closure,first_answer_1d_denom_closure,accepted_vote_30d_rate,accepted_vote_30d_denom,brand_new_platform_share,low_tenure_existing_share,established_cross_tag_share,exposure_index,residual_queue_complexity_index_mean,brand_new_platform_share_accepted_current,brand_new_platform_share_first_answer,brand_new_platform_share_first_positive,brand_new_platform_share_top_score,incumbent_365d_share_accepted_current,incumbent_365d_share_first_answer,incumbent_365d_share_first_positive,incumbent_365d_share_top_score,recent_entrant_365d_share_accepted_current,recent_entrant_365d_share_first_answer,recent_entrant_365d_share_first_positive,recent_entrant_365d_share_top_score,recent_entrant_90d_share_accepted_current,recent_entrant_90d_share_first_answer,recent_entrant_90d_share_first_positive,recent_entrant_90d_share_top_score,first_recent_share,accepted_recent_share,recent_gap_first_vs_accepted,accepted_incumbent_share,high_complexity_tm
android,2020-01,4177,6067,2047323.4751108333,2701,1990,4376,0.688478655018955,757.9872177381834,0.4547531992687386,1.0,0,-0.0,0.6171089500576892,6067.0,0.1926817207845722,6067.0,0.0601532567049808,0.1406130268199233,0.7992337164750958,-0.5824723369899437,0.0603749011841349,0.0451160753394656,0.0753917831427361,0.0721225710014947,0.072850487081745,0.0035041611914148,0.0050825921219822,0.0067264573991031,0.0080474375264718,0.9964958388085852,0.9949174078780176,0.9932735426008968,0.991952562473528,0.990801576872536,0.9864464210080476,0.9816890881913304,0.9807285048708174,0.9864464210080476,0.990801576872536,-0.004355155864488425,0.0035041611914148,1
android,2020-02,3949,5792,1718775.6570647222,2471,1882,4157,0.6818024861878453,695.578978982081,0.4527303343757517,2.0,0,-0.0,0.6084254143646409,5792.0,0.1945787292817679,5792.0,0.0815268614514608,0.1555136663524976,0.7629594721960414,-0.5824723369899437,0.0510794675753599,0.0603290676416819,0.0981567843659782,0.0864799025578562,0.0979347101932045,0.003199268738574,0.0042194092827004,0.0036540803897685,0.0068842993559848,0.996800731261426,0.9957805907172996,0.9963459196102314,0.9931157006440152,0.989488117001828,0.9877859204974462,0.9837596427121396,0.981789917832556,0.9877859204974462,0.989488117001828,-0.0017021965043818588,0.003199268738574,0
android,2020-03,4050,6088,1974034.4716061112,2422,1896,4261,0.6652431011826544,815.043134436875,0.4449659704294766,3.0,0,-0.0,0.586892247043364,6088.0,0.1859395532194481,6088.0,0.1038961038961039,0.1637291280148423,0.7323747680890538,-0.5824723369899437,0.0377806813878112,0.0770609318996415,0.1110393802453195,0.0973891421467053,0.1082418764794491,0.0053763440860215,0.0066709705186141,0.0082884376295068,0.0098988594792339,0.9946236559139784,0.9933290294813858,0.9917115623704932,0.990101140520766,0.9807347670250895,0.980847858833656,0.9726481558226274,0.9743920809124166,0.980847858833656,0.9807347670250895,0.00011309180856644563,0.0053763440860215,0
android,2020-04,4499,6568,2107617.0727219447,2661,2148,4719,0.6849878197320342,792.0394861788593,0.4551811824539097,4.0,0,-0.0,0.6074908647990256,6568.0,0.1939707673568818,6568.0,0.1050022532672375,0.1960342496620099,0.6989634970707526,-0.5824723369899437,0.0190485373396147,0.0558727569331158,0.0890759592795614,0.0836501901140684,0.0871182458888018,0.0040783034257748,0.0056773688332028,0.0068441064638783,0.00920125293657,0.9959216965742252,0.9943226311667972,0.9931558935361215,0.99079874706343,0.8058727569331158,0.8320281910728269,0.7939163498098859,0.8261550509005482,0.8320281910728269,0.8058727569331158,0.02615543413971111,0.0040783034257748,0
android,2020-05,4288,6487,1865447.5744286112,2673,2102,4512,0.6610143363650378,697.8853626743776,0.4658687943262411,5.0,0,-0.0,0.5820872514259288,6487.0,0.1842145830121782,6487.0,0.1159747292418772,0.2017148014440433,0.6823104693140795,-0.5824723369899437,0.0330252563042341,0.0586292320396366,0.0875407166123778,0.0785498489425981,0.086115635179153,0.0028901734104046,0.0079397394136807,0.0083081570996978,0.0101791530944625,0.9971098265895952,0.9920602605863192,0.991691842900302,0.9898208469055376,0.662262592898431,0.7259771986970684,0.6688066465256798,0.7198697068403909,0.7259771986970684,0.662262592898431,0.06371460579863741,0.0028901734104046,0
android,2020-06,3968,5982,1862900.3394969448,2476,1870,4181,0.6633233032430625,752.3830127208985,0.4472614207127481,6.0,0,-0.0,0.5874289535272484,5982.0,0.1852223336676697,5982.0,0.1217948717948717,0.2011834319526627,0.6770216962524654,-0.5824723369899437,0.0214835747636388,0.0708768741481145,0.1120423467137185,0.0984940984940985,0.1093956771063078,0.0054520672421626,0.0074988972209969,0.0073260073260073,0.0103661226290251,0.9945479327578374,0.992501102779003,0.9926739926739928,0.9896338773709747,0.6297137664697865,0.6887957653286282,0.6398046398046398,0.6786501985002206,0.6887957653286282,0.6297137664697865,0.05908199885884169,0.0054520672421626,0
android,2020-07,3856,5786,1582944.0187677778,2379,1869,4072,0.6664362253715866,665.3821012054551,0.4589882121807465,7.0,0,-0.0,0.582267542343588,5786.0,0.1978914621500173,5786.0,0.1131386861313868,0.1949947862356621,0.691866527632951,-0.5824723369899437,0.0422296323348375,0.0797993616051071,0.110182885527207,0.0971162001696352,0.106344547301874,0.0063839489284085,0.0090313840596071,0.0072094995759117,0.011515014675999,0.9936160510715916,0.9909686159403928,0.9927905004240882,0.9884849853240008,0.6260829913360693,0.663355159178144,0.6098388464800678,0.6588394671483405,0.663355159178144,0.6260829913360693,0.037272167842074766,0.0063839489284085,0
android,2020-08,3332,5045,1402525.0487883333,2122,1653,3556,0.6604558969276512,660.9448863281496,0.4648481439820022,8.0,0,-0.0,0.5700693756194252,5045.0,0.2112983151635282,5045.0,0.1358511837655017,0.1927846674182638,0.6713641488162345,-0.5824723369899437,0.0249967011515838,0.0744456177402323,0.1082621082621082,0.0928909952606635,0.1043771043771043,0.0036958817317845,0.0075110075110075,0.0080568720379146,0.0101010101010101,0.9963041182682154,0.9924889924889924,0.9919431279620852,0.98989898989899,0.5791974656810982,0.6236726236726237,0.5691943127962086,0.6174566174566175,0.6236726236726237,0.5791974656810982,0.04447515799152546,0.0036958817317845,0
android,2020-09,3168,4868,1453487.9622811112,1986,1526,3360,0.6507806080525883,731.8670504940137,0.4541666666666666,9.0,0,-0.0,0.5630649137222679,4868.0,0.1935086277732128,4868.0,0.1459459459459459,0.1783783783783784,0.6756756756756757,-0.5824723369899437,0.0114923862827735,0.0553047404063205,0.0926482645531566,0.0877551020408163,0.0926482645531566,0.0039503386004514,0.0092921563268652,0.010204081632653,0.0120251434818256,0.9960496613995484,0.9907078436731348,0.9897959183673468,0.9879748565181744,0.5440180586907449,0.5892320306094562,0.5346938775510204,0.5818529652910631,0.5892320306094562,0.5440180586907449,0.04521397191871124,0.0039503386004514,0
android,2020-10,3233,4952,1310406.208352778,1984,1565,3440,0.6528675282714055,660.4870001778114,0.4549418604651162,10.0,0,-0.0,0.561389337641357,4952.0,0.1989095315024232,4952.0,0.14,0.1823529411764705,0.6776470588235294,-0.5824723369899437,-0.002631657815227,0.0806363137685134,0.1087888531618435,0.1068354430379746,0.1109324758842443,0.0060340098738343,0.0099142550911039,0.0126582278481012,0.0136655948553054,0.9939659901261656,0.990085744908896,0.9873417721518988,0.9863344051446944,0.5139879319802523,0.5645766345123259,0.5139240506329114,0.565112540192926,0.5645766345123259,0.5139879319802523,0.05058870253207359,0.0060340098738343,0
