month,coef,se,pval,ci_low,ci_high,post_chatgpt,outcome
2022-01,0.07223957565679315,0.12437996009014361,0.561376908847013,-0.17154514611988833,0.3160242974334746,0,mean_log_views
2022-02,-0.09653926349999997,0.12102497882205887,0.4250559328603636,-0.3337482219912353,0.1406696949912354,0,mean_log_views
2022-03,-0.16505726092568757,0.09312782245347456,0.07633261994391205,-0.3475877929344977,0.017473271083122577,0,mean_log_views
2022-04,-0.11675596398866206,0.09905358084704004,0.23851159041494285,-0.31090098244886055,0.0773890544715364,0,mean_log_views
2022-05,-0.18107668190137122,0.13143636548325172,0.16830344870953728,-0.43869195824854457,0.07653859444580213,0,mean_log_views
2022-06,-0.05649130929748908,0.1256934859286638,0.6531164105575347,-0.3028505417176701,0.189867923122692,0,mean_log_views
2022-07,0.026801591806038746,0.10978881988015875,0.8071382705905239,-0.18838449515907238,0.24198767877114988,0,mean_log_views
2022-08,-0.01105084925584865,0.1217730095876562,0.9276915754197148,-0.2497259480476548,0.2276242495359575,0,mean_log_views
2022-09,-0.16680008331246357,0.15875969604562287,0.2934216580857064,-0.4779690875618844,0.14436892093695727,0,mean_log_views
2022-10,-0.05050980782271958,0.08876759985453211,0.569348162292022,-0.22449430353760252,0.12347468789216337,0,mean_log_views
2022-11,0.0,0.0,,0.0,0.0,0,mean_log_views
2022-12,-0.11475953657327531,0.18764608769880414,0.5408194042751259,-0.4825458684629314,0.2530267953163808,1,mean_log_views
2023-01,-0.21771670706625915,0.11333998183705996,0.05474216198905709,-0.4398630714668966,0.004429657334378362,1,mean_log_views
2023-02,-0.17181560456141276,0.10223719991865575,0.09284868486758013,-0.37220051640197804,0.028569307279152495,1,mean_log_views
2023-03,-0.15750954891099353,0.09690227449837051,0.10406726573160435,-0.3474380069277997,0.03241890910581266,1,mean_log_views
2023-04,0.03152792869196219,0.15427116402649643,0.8380667479799453,-0.2708435527999708,0.3338994101838952,1,mean_log_views
2023-05,-0.029120587011626023,0.10942131921719142,0.7901370407789283,-0.2435863726773212,0.18534519865406918,1,mean_log_views
2023-06,-0.29212385764367865,0.1085447749922678,0.007117945797020355,-0.5048716166285235,-0.07937609865883374,1,mean_log_views
2023-07,0.016844120165141536,0.10238486803243192,0.8693236358261838,-0.18383022117842504,0.2175184615087081,1,mean_log_views
2023-08,-0.18478137021852425,0.10704470269254719,0.08431008656880715,-0.39458898749591675,0.025026247058868245,1,mean_log_views
2023-09,-0.05301749620319421,0.12178599849206126,0.6633205435334413,-0.2917180532476343,0.18568306084124586,1,mean_log_views
2023-10,0.28056321812718593,0.09832549741022574,0.0043252416862628,0.08784524320314349,0.4732811930512284,1,mean_log_views
2023-11,0.18244886332388624,0.12604793351222174,0.1477691942342349,-0.06460508636006837,0.4295028130078409,1,mean_log_views
2023-12,0.2877232381365446,0.14091120578480676,0.041163812638850356,0.011537274798323338,0.5639092014747659,1,mean_log_views
