months_since_first_direct_ai,ask_questions,ask_high_tag_share,ask_exposure_index_mean,answer_count_total,accepted_current_total,answer_exposure_index_wavg,direct_ai_events,n_user_months
-6,0.4362017804154303,0.2188921859545005,0.1516868401891076,3.7566765578635013,1.682492581602374,0.3735427340701077,0.0,337
-5,0.5014492753623189,0.24710144927536232,0.23333763917613184,3.936231884057971,1.846376811594203,0.38532251552116864,0.0,345
-4,0.6115942028985507,0.25471014492753624,0.1684192289362352,3.782608695652174,1.7826086956521738,0.3391982568124028,0.0,345
-3,0.5672514619883041,0.25048732943469787,0.14006702435032217,3.5,1.5818713450292399,0.34470880946458626,0.0,342
-2,0.5730337078651685,0.2808988764044944,0.26273491446611213,2.8707865168539324,1.3258426966292134,0.3843690458407301,0.0,356
-1,0.7281553398058253,0.35571736785329017,0.24167654780162207,2.813106796116505,1.2888349514563107,0.363643003324722,0.0,412
0,1.1113216485078161,0.7849315377501072,0.2573236369202782,0.6281383230696352,0.29227854097584083,0.33623968592992665,1.059687351965893,2111
1,0.606951871657754,0.30962566844919787,0.2464123873809759,2.7967914438502675,1.2486631016042782,0.3809531769339978,0.13903743315508021,374
2,0.37941176470588234,0.22549019607843138,0.20461342046383288,2.4823529411764707,1.1911764705882353,0.40029274822199357,0.03529411764705882,340
3,0.425,0.21696428571428572,0.20325307266569845,2.48125,1.20625,0.34246909171218887,0.025,320
4,0.28289473684210525,0.1555921052631579,0.20841124349582188,2.101973684210526,1.042763157894737,0.35631860444657937,0.02631578947368421,304
5,0.28859060402684567,0.16079418344519014,0.2564678792631504,2.161073825503356,0.9395973154362416,0.37651679748145456,0.016778523489932886,298
6,0.2961672473867596,0.16898954703832753,0.2795718160215285,1.9965156794425087,0.9372822299651568,0.4206502319264723,0.013937282229965157,287
7,0.2508710801393728,0.14285714285714285,0.23365132337331548,1.735191637630662,0.8501742160278746,0.35402734760335686,0.017421602787456445,287
8,0.18681318681318682,0.1043956043956044,0.05131259197809125,1.7912087912087913,0.8315018315018315,0.40793147190101114,0.02564102564102564,273
9,0.23465703971119134,0.1540312876052948,0.2681869881886447,1.6570397111913358,0.7328519855595668,0.39049060154052423,0.032490974729241874,277
10,0.24812030075187969,0.12781954887218044,0.1865364071209881,1.9473684210526316,0.8759398496240601,0.3760339513927804,0.015037593984962405,266
11,0.15648854961832062,0.09541984732824428,0.24966714280066618,1.4885496183206106,0.6870229007633588,0.4018089241987096,0.019083969465648856,262
12,0.18503937007874016,0.09370078740157481,0.31124774213719636,1.5078740157480315,0.6771653543307087,0.3909920752301011,0.023622047244094488,254
