primary_tag,month_id,time_index,role,post_chatgpt,exposure_index,high_tag,high_post,residual_queue_complexity_index_mean,n_role_rows,brand_new_platform_share,low_tenure_existing_share,established_cross_tag_share,exposure_post
android,2020-01,1,accepted_30d,0,-0.5824723369899437,0,0,0.0603749011841349,1147,0.043591979075850044,0.13251961639058413,0.8238884045335658,-0.0
android,2020-01,1,accepted_current,0,-0.5824723369899437,0,0,0.0603749011841349,2283,0.045116075339465614,0.11344721857205431,0.8414367060884801,-0.0
android,2020-01,1,first_answer,0,-0.5824723369899437,0,0,0.0603749011841349,4722,0.07539178314273613,0.12452350698856417,0.8000847098686997,-0.0
android,2020-01,1,first_positive,0,-0.5824723369899437,0,0,0.0603749011841349,2676,0.07212257100149477,0.09566517189835576,0.8322122571001495,-0.0
android,2020-01,1,later_answer,0,-0.5824723369899437,0,0,0.0603749011841349,2637,0.1236253318164581,0.1167993932499052,0.7595752749336367,-0.0
android,2020-01,1,top_score,0,-0.5824723369899437,0,0,0.0603749011841349,4722,0.07285048708174502,0.11605252011859382,0.8110969927996612,-0.0
android,2020-02,2,accepted_30d,0,-0.5824723369899437,0,0,0.0510794675753599,1120,0.049107142857142856,0.1357142857142857,0.8151785714285714,-0.0
android,2020-02,2,accepted_current,0,-0.5824723369899437,0,0,0.0510794675753599,2188,0.0603290676416819,0.11745886654478976,0.8222120658135283,-0.0
android,2020-02,2,first_answer,0,-0.5824723369899437,0,0,0.0510794675753599,4503,0.09815678436597823,0.12369531423495447,0.7781479013990673,-0.0
android,2020-02,2,first_positive,0,-0.5824723369899437,0,0,0.0510794675753599,2463,0.08647990255785627,0.09297604547300041,0.8205440519691434,-0.0
android,2020-02,2,later_answer,0,-0.5824723369899437,0,0,0.0510794675753599,2455,0.15112016293279024,0.11812627291242363,0.7307535641547862,-0.0
android,2020-02,2,top_score,0,-0.5824723369899437,0,0,0.0510794675753599,4503,0.09793471019320453,0.12236286919831224,0.7797024206084833,-0.0
android,2020-03,3,accepted_30d,0,-0.5824723369899437,0,0,0.0377806813878112,1125,0.07555555555555556,0.11911111111111111,0.8053333333333333,-0.0
android,2020-03,3,accepted_current,0,-0.5824723369899437,0,0,0.0377806813878112,2232,0.07706093189964158,0.10125448028673835,0.8216845878136201,-0.0
android,2020-03,3,first_answer,0,-0.5824723369899437,0,0,0.0377806813878112,4647,0.11103938024531956,0.11577361738756187,0.7731870023671186,-0.0
android,2020-03,3,first_positive,0,-0.5824723369899437,0,0,0.0377806813878112,2413,0.09738914214670534,0.10194778284293411,0.8006630750103605,-0.0
android,2020-03,3,later_answer,0,-0.5824723369899437,0,0,0.0377806813878112,2390,0.15397489539748954,0.12468619246861924,0.7213389121338912,-0.0
android,2020-03,3,top_score,0,-0.5824723369899437,0,0,0.0377806813878112,4647,0.1082418764794491,0.11405207660856466,0.7777060469119862,-0.0
android,2020-04,4,accepted_30d,0,-0.5824723369899437,0,0,0.0190485373396147,1245,0.05220883534136546,0.1614457831325301,0.7863453815261044,-0.0
android,2020-04,4,accepted_current,0,-0.5824723369899437,0,0,0.0190485373396147,2452,0.05587275693311582,0.14151712887438825,0.802610114192496,-0.0
android,2020-04,4,first_answer,0,-0.5824723369899437,0,0,0.0190485373396147,5108,0.08907595927956147,0.14075959279561473,0.7701644479248239,-0.0
android,2020-04,4,first_positive,0,-0.5824723369899437,0,0,0.0190485373396147,2630,0.08365019011406843,0.12243346007604562,0.7939163498098859,-0.0
android,2020-04,4,later_answer,0,-0.5824723369899437,0,0,0.0190485373396147,2266,0.13989408649602825,0.13945278022947927,0.7206531332744925,-0.0
android,2020-04,4,top_score,0,-0.5824723369899437,0,0,0.0190485373396147,5108,0.08711824588880188,0.139389193422083,0.7734925606891151,-0.0
android,2020-05,5,accepted_30d,0,-0.5824723369899437,0,0,0.0330252563042341,1176,0.05612244897959184,0.1760204081632653,0.7678571428571429,-0.0
android,2020-05,5,accepted_current,0,-0.5824723369899437,0,0,0.0330252563042341,2422,0.058629232039636665,0.17010734929810073,0.7712634186622626,-0.0
android,2020-05,5,first_answer,0,-0.5824723369899437,0,0,0.0330252563042341,4912,0.08754071661237785,0.18220684039087948,0.7302524429967426,-0.0
android,2020-05,5,first_positive,0,-0.5824723369899437,0,0,0.0330252563042341,2648,0.07854984894259819,0.14652567975830816,0.7749244712990937,-0.0
android,2020-05,5,later_answer,0,-0.5824723369899437,0,0,0.0330252563042341,2247,0.14508233199821985,0.14330218068535824,0.7116154873164219,-0.0
android,2020-05,5,top_score,0,-0.5824723369899437,0,0,0.0330252563042341,4912,0.08611563517915309,0.17569218241042345,0.7381921824104235,-0.0
android,2020-06,6,accepted_30d,0,-0.5824723369899437,0,0,0.0214835747636388,1102,0.06261343012704174,0.13611615245009073,0.8012704174228675,-0.0
android,2020-06,6,accepted_current,0,-0.5824723369899437,0,0,0.0214835747636388,2201,0.0708768741481145,0.12539754656974103,0.8037255792821445,-0.0
android,2020-06,6,first_answer,0,-0.5824723369899437,0,0,0.0214835747636388,4534,0.11204234671371857,0.14181737979708867,0.7461402734891928,-0.0
android,2020-06,6,first_positive,0,-0.5824723369899437,0,0,0.0214835747636388,2457,0.0984940984940985,0.11273911273911275,0.7887667887667887,-0.0
android,2020-06,6,later_answer,0,-0.5824723369899437,0,0,0.0214835747636388,2217,0.16644113667117727,0.12629679747406405,0.7072620658547587,-0.0
android,2020-06,6,top_score,0,-0.5824723369899437,0,0,0.0214835747636388,4534,0.10939567710630789,0.13630348478164975,0.7543008381120423,-0.0
android,2020-07,7,accepted_30d,0,-0.5824723369899437,0,0,0.0422296323348375,1135,0.06607929515418502,0.1656387665198238,0.7682819383259912,-0.0
android,2020-07,7,accepted_current,0,-0.5824723369899437,0,0,0.0422296323348375,2193,0.07979936160510716,0.15047879616963064,0.7697218422252622,-0.0
android,2020-07,7,first_answer,0,-0.5824723369899437,0,0,0.0422296323348375,4429,0.11018288552720705,0.16324226687739896,0.726574847595394,-0.0
android,2020-07,7,first_positive,0,-0.5824723369899437,0,0,0.0422296323348375,2358,0.09711620016963528,0.131891433418151,0.7709923664122137,-0.0
android,2020-07,7,later_answer,0,-0.5824723369899437,0,0,0.0422296323348375,2110,0.15355450236966825,0.15260663507109004,0.6938388625592417,-0.0
android,2020-07,7,top_score,0,-0.5824723369899437,0,0,0.0422296323348375,4429,0.10634454730187401,0.15692029803567398,0.736735154662452,-0.0
android,2020-08,8,accepted_30d,0,-0.5824723369899437,0,0,0.0249967011515838,1049,0.06863679694947569,0.16682554814108674,0.7645376549094376,-0.0
android,2020-08,8,accepted_current,0,-0.5824723369899437,0,0,0.0249967011515838,1894,0.07444561774023231,0.15469904963041184,0.7708553326293559,-0.0
android,2020-08,8,first_answer,0,-0.5824723369899437,0,0,0.0249967011515838,3861,0.10826210826210826,0.16938616938616938,0.7223517223517224,-0.0
android,2020-08,8,first_positive,0,-0.5824723369899437,0,0,0.0249967011515838,2110,0.09289099526066351,0.14265402843601896,0.7644549763033175,-0.0
android,2020-08,8,later_answer,0,-0.5824723369899437,0,0,0.0249967011515838,1743,0.15777395295467583,0.14228341939185313,0.699942627653471,-0.0
android,2020-08,8,top_score,0,-0.5824723369899437,0,0,0.0249967011515838,3861,0.10437710437710437,0.16576016576016575,0.7298627298627298,-0.0
android,2020-09,9,accepted_30d,0,-0.5824723369899437,0,0,0.0114923862827735,922,0.04121475054229935,0.18655097613882862,0.7722342733188721,-0.0
android,2020-09,9,accepted_current,0,-0.5824723369899437,0,0,0.0114923862827735,1772,0.055304740406320545,0.16422121896162528,0.7804740406320542,-0.0
android,2020-09,9,first_answer,0,-0.5824723369899437,0,0,0.0114923862827735,3659,0.0926482645531566,0.15168078710030064,0.7556709483465428,-0.0
android,2020-09,9,first_positive,0,-0.5824723369899437,0,0,0.0114923862827735,1960,0.08775510204081632,0.13979591836734695,0.7724489795918368,-0.0
android,2020-09,9,later_answer,0,-0.5824723369899437,0,0,0.0114923862827735,1671,0.14661879114302812,0.13285457809694792,0.720526630760024,-0.0
android,2020-09,9,top_score,0,-0.5824723369899437,0,0,0.0114923862827735,3659,0.0926482645531566,0.14812790379885216,0.7592238316479912,-0.0
android,2020-10,10,accepted_30d,0,-0.5824723369899437,0,0,-0.002631657815227,977,0.0736949846468782,0.14841351074718526,0.7778915046059366,-0.0
android,2020-10,10,accepted_current,0,-0.5824723369899437,0,0,-0.002631657815227,1823,0.08063631376851343,0.13274821722435545,0.7866154690071311,-0.0
android,2020-10,10,first_answer,0,-0.5824723369899437,0,0,-0.002631657815227,3732,0.10878885316184352,0.15407288317256163,0.7371382636655949,-0.0
android,2020-10,10,first_positive,0,-0.5824723369899437,0,0,-0.002631657815227,1975,0.10683544303797468,0.13265822784810127,0.760506329113924,-0.0
android,2020-10,10,later_answer,0,-0.5824723369899437,0,0,-0.002631657815227,1849,0.1660356949702542,0.1341265548945376,0.6998377501352082,-0.0
android,2020-10,10,top_score,0,-0.5824723369899437,0,0,-0.002631657815227,3732,0.11093247588424437,0.1492497320471597,0.7398177920685959,-0.0
android,2020-11,11,accepted_30d,0,-0.5824723369899437,0,0,-0.0029139660873455,838,0.10023866348448687,0.15393794749403342,0.7458233890214797,-0.0
android,2020-11,11,accepted_current,0,-0.5824723369899437,0,0,-0.0029139660873455,1659,0.10367691380349608,0.14828209764918626,0.7480409885473177,-0.0
android,2020-11,11,first_answer,0,-0.5824723369899437,0,0,-0.0029139660873455,3415,0.1349926793557833,0.15871156661786237,0.7062957540263544,-0.0
android,2020-11,11,first_positive,0,-0.5824723369899437,0,0,-0.0029139660873455,1934,0.13598759048603928,0.11995863495346432,0.7440537745604964,-0.0
android,2020-11,11,later_answer,0,-0.5824723369899437,0,0,-0.0029139660873455,1598,0.18773466833541927,0.14580725907384232,0.6664580725907384,-0.0
android,2020-11,11,top_score,0,-0.5824723369899437,0,0,-0.0029139660873455,3415,0.13704245973645682,0.15724743777452416,0.705710102489019,-0.0
android,2020-12,12,accepted_30d,0,-0.5824723369899437,0,0,0.0261842263033681,880,0.07613636363636364,0.15795454545454546,0.7659090909090909,-0.0
android,2020-12,12,accepted_current,0,-0.5824723369899437,0,0,0.0261842263033681,1680,0.0869047619047619,0.14642857142857144,0.7666666666666667,-0.0
android,2020-12,12,first_answer,0,-0.5824723369899437,0,0,0.0261842263033681,3387,0.11189843519338648,0.14909949808089754,0.739002066725716,-0.0
android,2020-12,12,first_positive,0,-0.5824723369899437,0,0,0.0261842263033681,1819,0.10335349092908191,0.12369433754810336,0.7729521715228147,-0.0
android,2020-12,12,later_answer,0,-0.5824723369899437,0,0,0.0261842263033681,1476,0.15447154471544716,0.14092140921409213,0.7046070460704607,-0.0
android,2020-12,12,top_score,0,-0.5824723369899437,0,0,0.0261842263033681,3387,0.11219368172423974,0.14348981399468555,0.7443165042810747,-0.0
android,2021-01,13,accepted_30d,0,-0.5824723369899437,0,0,0.0239998511088022,916,0.09497816593886463,0.20414847161572053,0.7008733624454149,-0.0
android,2021-01,13,accepted_current,0,-0.5824723369899437,0,0,0.0239998511088022,1740,0.09425287356321839,0.19827586206896552,0.707471264367816,-0.0
android,2021-01,13,first_answer,0,-0.5824723369899437,0,0,0.0239998511088022,3631,0.12310658220875792,0.1955384191682732,0.6813549986229689,-0.0
android,2021-01,13,first_positive,0,-0.5824723369899437,0,0,0.0239998511088022,1954,0.11258955987717502,0.18014329580348004,0.7072671443193449,-0.0
android,2021-01,13,later_answer,0,-0.5824723369899437,0,0,0.0239998511088022,1692,0.16489361702127658,0.18617021276595744,0.648936170212766,-0.0
android,2021-01,13,top_score,0,-0.5824723369899437,0,0,0.0239998511088022,3631,0.12365739465711925,0.18947948223629854,0.6868631231065823,-0.0
android,2021-02,14,accepted_30d,0,-0.5824723369899437,0,0,0.0225630259080181,751,0.08122503328894808,0.17576564580559254,0.7430093209054593,-0.0
android,2021-02,14,accepted_current,0,-0.5824723369899437,0,0,0.0225630259080181,1442,0.09292649098474341,0.15950069348127602,0.7475728155339806,-0.0
android,2021-02,14,first_answer,0,-0.5824723369899437,0,0,0.0225630259080181,3042,0.12590401051939515,0.1722550953320184,0.7018408941485864,-0.0
android,2021-02,14,first_positive,0,-0.5824723369899437,0,0,0.0225630259080181,1569,0.11536010197578075,0.13065646908859146,0.7539834289356278,-0.0
