sample,x,y,pearson_r,pearson_p,spearman_rho,spearman_p,n_months
full_2020_2025,chatgpt_views,internal_ai_title_rate,0.535023780146171,1.287137475784738e-06,0.7694489510447025,2.8759154342098884e-15,72
full_2020_2025,chatgpt_views,internal_ai_title_log_hits,-0.24175243824356948,0.04076713908448373,-0.18837933743705076,0.11303445165099445,72
full_2020_2025,chatgpt_views,internal_chatgpt_title_rate,0.5248707013233329,2.2115743974347277e-06,0.6975195074448892,9.90956637665366e-12,72
full_2020_2025,chatgpt_views,internal_chatgpt_title_log_hits,0.6721939037213236,1.0114239683675523e-10,0.7013147240563851,6.852433858920134e-12,72
full_2020_2025,chatgpt_views,internal_ai_title_rate_z_sample,0.535023780146171,1.287137475784738e-06,0.7694489510447025,2.8759154342098884e-15,72
full_2020_2025,chatgpt_views,internal_ai_title_log_hits_z_sample,-0.24175243824356943,0.04076713908448373,-0.18837933743705076,0.11303445165099445,72
full_2020_2025,chatgpt_views,internal_chatgpt_title_rate_z_sample,0.5248707013233329,2.2115743974347277e-06,0.6975195074448892,9.90956637665366e-12,72
full_2020_2025,chatgpt_views,internal_chatgpt_title_log_hits_z_sample,0.6721939037213237,1.0114239683675523e-10,0.7013147240563851,6.852433858920134e-12,72
full_2020_2025,chatgpt_log_views,internal_ai_title_rate,0.7891629751550098,1.8112514010914232e-16,0.7694489510447025,2.8759154342098884e-15,72
full_2020_2025,chatgpt_log_views,internal_ai_title_log_hits,-0.40208312381780137,0.000463378929237857,-0.18837933743705076,0.11303445165099445,72
full_2020_2025,chatgpt_log_views,internal_chatgpt_title_rate,0.573603113550034,1.3883513431763764e-07,0.6975195074448892,9.90956637665366e-12,72
full_2020_2025,chatgpt_log_views,internal_chatgpt_title_log_hits,0.6872823274015671,2.6068119022812656e-11,0.7013147240563851,6.852433858920134e-12,72
full_2020_2025,chatgpt_log_views,internal_ai_title_rate_z_sample,0.7891629751550098,1.8112514010914232e-16,0.7694489510447025,2.8759154342098884e-15,72
full_2020_2025,chatgpt_log_views,internal_ai_title_log_hits_z_sample,-0.40208312381780137,0.000463378929237857,-0.18837933743705076,0.11303445165099445,72
