question_id,created_at_iso,score,view_count,answer_count,accepted,owner_user_id,title,body_text,question_tags,created_at,month_id,day_id,text_blob,question_tags_list,selected_tags_on_question,selected_tag_overlap,single_focal_tag,keep_single_focal,tag,post_chatgpt,log_views,log_answers,post_policy,in_policy_window,routine_keyword_hit,exposure_index,exposure_group,exposure_rank,pre_questions,routine_keyword_share,exposure_post,policy_period
74635502,2022-12-01T00:02:46Z,0,43,1,0,6022333.0,Spring JPQL and SIZE function with condition,,java;spring-boot;hibernate;spring-data-jpa;jpql,2022-12-01 00:02:46+00:00,2022-12,2022-12-01,Spring JPQL and SIZE function with condition,"['java', 'spring-boot', 'hibernate', 'spring-data-jpa', 'jpql']",['hibernate'],1,hibernate,1,hibernate,1,3.784189633918261,0.6931471805599453,0,1,0,-0.7689075379636955,Low Exposure,13,5303,0.4301338864793513,-0.7689075379636955,Dec 1-4
74635504,2022-12-01T00:02:48Z,0,97,1,0,2198720.0,How to load CSV file with header in the fifth row and with multiple line records in Spark?,,apache-spark;apache-spark-sql,2022-12-01 00:02:48+00:00,2022-12,2022-12-01,How to load CSV file with header in the fifth row and with multiple line records in Spark?,"['apache-spark', 'apache-spark-sql']",['apache-spark'],1,apache-spark,1,apache-spark,1,4.584967478670572,0.6931471805599453,0,1,1,-0.2372010307165302,Mid Exposure,12,13440,0.5390625,-0.2372010307165302,Dec 1-4
74635519,2022-12-01T00:05:43Z,0,63,0,0,7492260.0,Using boto3s iter_lines to load a CSV with newlines in the data,,python;csv;amazon-s3;memory;boto3,2022-12-01 00:05:43+00:00,2022-12,2022-12-01,Using boto3s iter_lines to load a CSV with newlines in the data,"['python', 'csv', 'amazon-s3', 'memory', 'boto3']",['csv'],1,csv,1,csv,1,4.1588830833596715,0.0,0,1,1,1.4228963119133813,High Exposure,2,11156,0.8757619218357834,1.4228963119133813,Dec 1-4
74635544,2022-12-01T00:10:43Z,0,33,1,1,11535369.0,Element wise between a 2-D numpy array and a list,,python;numpy,2022-12-01 00:10:43+00:00,2022-12,2022-12-01,Element wise between a 2-D numpy array and a list,"['python', 'numpy']",['numpy'],1,numpy,1,numpy,1,3.5263605246161616,0.6931471805599453,0,1,1,0.17674439068280354,Mid Exposure,7,22279,0.7247632299474842,0.17674439068280354,Dec 1-4
74635549,2022-12-01T00:11:49Z,0,36,2,0,20323871.0,"Execute script to download and unzip file on a remote computer, it runs successfully but nothing downloaded",,c#;powershell,2022-12-01 00:11:49+00:00,2022-12,2022-12-01,"Execute script to download and unzip file on a remote computer, it runs successfully but nothing downloaded","['c#', 'powershell']",['powershell'],1,powershell,1,powershell,1,3.6109179126442243,1.0986122886681098,0,1,0,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74635551,2022-12-01T00:12:17Z,0,59,0,0,13611429.0,"Page loads on first render, then crashes entire app when refreshed",,reactjs;firebase;google-cloud-firestore;react-redux;redux-toolkit,2022-12-01 00:12:17+00:00,2022-12,2022-12-01,"Page loads on first render, then crashes entire app when refreshed","['reactjs', 'firebase', 'google-cloud-firestore', 'react-redux', 'redux-toolkit']",['firebase'],1,firebase,1,firebase,1,4.0943445622221,0.0,0,1,0,-1.2702575421930977,Low Exposure,19,31947,0.4521238300935925,-1.2702575421930977,Dec 1-4
74635563,2022-12-01T00:13:31Z,0,24,1,0,19655755.0,Fetching data from firebase database in ArrayAdapter not working properly,,java;android;firebase;firebase-realtime-database,2022-12-01 00:13:31+00:00,2022-12,2022-12-01,Fetching data from firebase database in ArrayAdapter not working properly,"['java', 'android', 'firebase', 'firebase-realtime-database']",['firebase'],1,firebase,1,firebase,1,3.2188758248682006,0.6931471805599453,0,1,1,-1.2702575421930977,Low Exposure,19,31947,0.4521238300935925,-1.2702575421930977,Dec 1-4
74635586,2022-12-01T00:16:16Z,0,16,0,0,20650714.0,Importing beans from package in Spring - Unexpected exception parsing XML document,,spring;javabeans,2022-12-01 00:16:16+00:00,2022-12,2022-12-01,Importing beans from package in Spring - Unexpected exception parsing XML document,"['spring', 'javabeans']",['spring'],1,spring,1,spring,1,2.833213344056216,0.0,0,1,1,-0.0892393838950906,Mid Exposure,9,22554,0.3837013390086016,-0.0892393838950906,Dec 1-4
74635592,2022-12-01T00:17:03Z,0,52,2,1,2282445.0,Powershell - How to Transpose an array,,powershell,2022-12-01 00:17:03+00:00,2022-12,2022-12-01,Powershell - How to Transpose an array,['powershell'],['powershell'],1,powershell,1,powershell,1,3.970291913552122,1.0986122886681098,0,1,1,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74635662,2022-12-01T00:32:02Z,-1,49,1,0,20606151.0,"Error: type () => Map<String, dynamic>? is not a subtype of type Map<String, dynamic>?",,android;flutter;firebase;dart,2022-12-01 00:32:02+00:00,2022-12,2022-12-01,"Error: type () => Map<String, dynamic>? is not a subtype of type Map<String, dynamic>?","['android', 'flutter', 'firebase', 'dart']",['firebase'],1,firebase,1,firebase,1,3.912023005428146,0.6931471805599453,0,1,1,-1.2702575421930977,Low Exposure,19,31947,0.4521238300935925,-1.2702575421930977,Dec 1-4
74635678,2022-12-01T00:34:50Z,0,26,1,1,20650918.0,Does the powershell cmdlet Stop-Service prevent the rest of the script from executing until the service has stopped?,,powershell;powershell-cmdlet,2022-12-01 00:34:50+00:00,2022-12,2022-12-01,Does the powershell cmdlet Stop-Service prevent the rest of the script from executing until the service has stopped?,"['powershell', 'powershell-cmdlet']",['powershell'],1,powershell,1,powershell,1,3.295836866004329,0.6931471805599453,0,1,0,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74635682,2022-12-01T00:36:10Z,0,26,0,0,20650939.0,Pop-up Input Form that retains and posts data,,excel;vba,2022-12-01 00:36:10+00:00,2022-12,2022-12-01,Pop-up Input Form that retains and posts data,"['excel', 'vba']",['vba'],1,vba,1,vba,1,3.295836866004329,0.0,0,1,1,0.013281227366463009,Mid Exposure,8,23845,0.4707066470958272,0.013281227366463009,Dec 1-4
74635741,2022-12-01T00:47:31Z,0,19,0,0,20556218.0,.AuthenticationViewModel .collect and .it problem,,android-studio;kotlin,2022-12-01 00:47:31+00:00,2022-12,2022-12-01,.AuthenticationViewModel .collect and .it problem,"['android-studio', 'kotlin']",['android-studio'],1,android-studio,1,android-studio,1,2.995732273553991,0.0,0,1,0,-0.8363397346443171,Low Exposure,15,16873,0.38760149351034195,-0.8363397346443171,Dec 1-4
74635765,2022-12-01T00:51:59Z,0,85,0,0,4611186.0,How to check if a key is defined in a configmap in a Helm chart?,,kubernetes;kubernetes-helm,2022-12-01 00:51:59+00:00,2022-12,2022-12-01,How to check if a key is defined in a configmap in a Helm chart?,"['kubernetes', 'kubernetes-helm']",['kubernetes'],1,kubernetes,1,kubernetes,1,4.454347296253507,0.0,0,1,1,-0.8018776113122862,Low Exposure,14,15694,0.2981394163374538,-0.8018776113122862,Dec 1-4
74635772,2022-12-01T00:53:33Z,2,43,1,1,20650795.0,Thread printing extra lines in Java,,java;multithreading,2022-12-01 00:53:33+00:00,2022-12,2022-12-01,Thread printing extra lines in Java,"['java', 'multithreading']",['multithreading'],1,multithreading,1,multithreading,1,3.784189633918261,0.6931471805599453,0,1,0,1.227659518737151,High Exposure,3,10147,0.29752636247166653,1.227659518737151,Dec 1-4
74635814,2022-12-01T01:02:26Z,0,39,0,0,19242664.0,Look for an array in the same column as a VLookUp value,,arrays;excel;excel-formula;match;vlookup,2022-12-01 01:02:26+00:00,2022-12,2022-12-01,Look for an array in the same column as a VLookUp value,"['arrays', 'excel', 'excel-formula', 'match', 'vlookup']",['excel-formula'],1,excel-formula,1,excel-formula,1,3.6888794541139363,0.0,0,1,1,0.3743766322792389,High Exposure,6,4722,0.6264294790343075,0.3743766322792389,Dec 1-4
74635825,2022-12-01T01:04:20Z,1,28,1,1,11258651.0,How to get ax plot id for matplotlib RectangleSelector callback?,,python;matplotlib,2022-12-01 01:04:20+00:00,2022-12,2022-12-01,How to get ax plot id for matplotlib RectangleSelector callback?,"['python', 'matplotlib']",['matplotlib'],1,matplotlib,1,matplotlib,1,3.367295829986474,0.6931471805599453,0,1,1,-1.200501942192366,Low Exposure,18,13504,0.5553169431279621,-1.200501942192366,Dec 1-4
74635851,2022-12-01T01:09:27Z,-1,83,1,1,20642202.0,Get current date and time in kernel module,,c;linux;linux-kernel;kernel-module,2022-12-01 01:09:27+00:00,2022-12,2022-12-01,Get current date and time in kernel module,"['c', 'linux', 'linux-kernel', 'kernel-module']",['linux'],1,linux,1,linux,1,4.430816798843313,0.6931471805599453,0,1,0,2.6461737892672623,High Exposure,1,18672,0.36734147386461014,2.6461737892672623,Dec 1-4
74635903,2022-12-01T01:17:41Z,0,56,3,1,19538465.0,PowerShell - Print Move-Item in Console,,windows;powershell,2022-12-01 01:17:41+00:00,2022-12,2022-12-01,PowerShell - Print Move-Item in Console,"['windows', 'powershell']",['powershell'],1,powershell,1,powershell,1,4.04305126783455,1.3862943611198906,0,1,0,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74635937,2022-12-01T01:22:41Z,0,54,0,0,20445054.0,leak converting .csv to .nc using xarray in some points,,python;csv;jupyter-notebook;netcdf;python-xarray,2022-12-01 01:22:41+00:00,2022-12,2022-12-01,leak converting .csv to .nc using xarray in some points,"['python', 'csv', 'jupyter-notebook', 'netcdf', 'python-xarray']",['csv'],1,csv,1,csv,1,4.007333185232471,0.0,0,1,1,1.4228963119133813,High Exposure,2,11156,0.8757619218357834,1.4228963119133813,Dec 1-4
74635970,2022-12-01T01:27:44Z,1,196,4,1,5623007.0,Is it possible to improve python performance for this code?,,python;numpy;julia,2022-12-01 01:27:44+00:00,2022-12,2022-12-01,Is it possible to improve python performance for this code?,"['python', 'numpy', 'julia']",['numpy'],1,numpy,1,numpy,1,5.2832037287379885,1.6094379124341003,0,1,0,0.17674439068280354,Mid Exposure,7,22279,0.7247632299474842,0.17674439068280354,Dec 1-4
74635972,2022-12-01T01:28:39Z,1,45,1,1,10842737.0,Cant change style value on second page using DataTable,,javascript;html;jquery;spring,2022-12-01 01:28:39+00:00,2022-12,2022-12-01,Cant change style value on second page using DataTable,"['javascript', 'html', 'jquery', 'spring']",['spring'],1,spring,1,spring,1,3.828641396489095,0.6931471805599453,0,1,0,-0.0892393838950906,Mid Exposure,9,22554,0.3837013390086016,-0.0892393838950906,Dec 1-4
74636001,2022-12-01T01:34:17Z,0,50,0,0,14242596.0,curl does not return any value,,linux;curl,2022-12-01 01:34:17+00:00,2022-12,2022-12-01,curl does not return any value,"['linux', 'curl']",['linux'],1,linux,1,linux,1,3.9318256327243257,0.0,0,1,0,2.6461737892672623,High Exposure,1,18672,0.36734147386461014,2.6461737892672623,Dec 1-4
74636047,2022-12-01T01:41:35Z,2,58,1,1,17695649.0,Parsing through a text file and skipping lines with Powershell,,powershell;text,2022-12-01 01:41:35+00:00,2022-12,2022-12-01,Parsing through a text file and skipping lines with Powershell,"['powershell', 'text']",['powershell'],1,powershell,1,powershell,1,4.07753744390572,0.6931471805599453,0,1,0,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74636061,2022-12-01T01:43:46Z,0,15,0,0,19822681.0,Error in Linux RHEL09 when switching to user after auto-fs service enabled,,linux;nfs,2022-12-01 01:43:46+00:00,2022-12,2022-12-01,Error in Linux RHEL09 when switching to user after auto-fs service enabled,"['linux', 'nfs']",['linux'],1,linux,1,linux,1,2.772588722239781,0.0,0,1,1,2.6461737892672623,High Exposure,1,18672,0.36734147386461014,2.6461737892672623,Dec 1-4
74636063,2022-12-01T01:43:54Z,0,138,0,0,11626550.0,PySpark GraphFrame and networkx for graphs with hierarchy,,apache-spark;pyspark;components;networkx;graphframes,2022-12-01 01:43:54+00:00,2022-12,2022-12-01,PySpark GraphFrame and networkx for graphs with hierarchy,"['apache-spark', 'pyspark', 'components', 'networkx', 'graphframes']",['apache-spark'],1,apache-spark,1,apache-spark,1,4.9344739331306915,0.0,0,1,0,-0.2372010307165302,Mid Exposure,12,13440,0.5390625,-0.2372010307165302,Dec 1-4
74636064,2022-12-01T01:43:58Z,0,102,2,1,19124338.0,"Filtering Data from Firestore in Django, passing to HTML template",,python;django;firebase;datetime;google-cloud-firestore,2022-12-01 01:43:58+00:00,2022-12,2022-12-01,"Filtering Data from Firestore in Django, passing to HTML template","['python', 'django', 'firebase', 'datetime', 'google-cloud-firestore']",['firebase'],1,firebase,1,firebase,1,4.634728988229636,1.0986122886681098,0,1,1,-1.2702575421930977,Low Exposure,19,31947,0.4521238300935925,-1.2702575421930977,Dec 1-4
74636071,2022-12-01T01:44:58Z,0,81,2,1,4752738.0,Kubernetes - Handle cronjobs like crontab,,kubernetes;kubernetes-cronjob,2022-12-01 01:44:58+00:00,2022-12,2022-12-01,Kubernetes - Handle cronjobs like crontab,"['kubernetes', 'kubernetes-cronjob']",['kubernetes'],1,kubernetes,1,kubernetes,1,4.406719247264253,1.0986122886681098,0,1,0,-0.8018776113122862,Low Exposure,14,15694,0.2981394163374538,-0.8018776113122862,Dec 1-4
74636087,2022-12-01T01:47:24Z,2,42,1,0,7151601.0,Can I pipe into a switch statement stored in a variable?,,powershell;switch-statement;scriptblock,2022-12-01 01:47:24+00:00,2022-12,2022-12-01,Can I pipe into a switch statement stored in a variable?,"['powershell', 'switch-statement', 'scriptblock']",['powershell'],1,powershell,1,powershell,1,3.7612001156935624,0.6931471805599453,0,1,0,-0.18736361202769578,Mid Exposure,10,19558,0.3899682994171183,-0.18736361202769578,Dec 1-4
74636114,2022-12-01T01:52:08Z,0,86,0,0,12337029.0,curl (60) peer’s certificate issuer is not recognized Linux CentOS,,python-3.x;linux;curl,2022-12-01 01:52:08+00:00,2022-12,2022-12-01,curl (60) peer’s certificate issuer is not recognized Linux CentOS,"['python-3.x', 'linux', 'curl']",['linux'],1,linux,1,linux,1,4.465908118654584,0.0,0,1,0,2.6461737892672623,High Exposure,1,18672,0.36734147386461014,2.6461737892672623,Dec 1-4
