tag,month_id,high_tag,post_chatgpt,n_questions,title_length_chars_mean,body_length_chars_mean,body_word_count_mean,code_block_count_mean,code_char_count_mean,error_keyword_density_mean,comment_count_mean,has_edit_mean,tag_count_full_mean,has_code_block_mean,code_share_mean,complexity_index_broad_mean,residual_queue_complexity_index_mean,high_post,time_index
android,2020-01,0,0,6067,61.448821493324544,1896.901269161035,176.30360969177516,1.4552497115543102,2692.1259271468602,0.0,2.0845557936377124,0.5876050766441404,3.3525630459864844,0.7036426569968683,0.8856853571736304,0.06670504258917183,0.06037490118413492,0,1
android,2020-02,0,0,5792,61.43283839779006,2005.6655732044198,184.40417817679557,1.4986187845303867,2820.2543162983425,0.0,1.9910220994475138,0.5643991712707183,3.3181975138121547,0.705628453038674,0.8865579703364719,0.07337880688038446,0.05107946757535991,0,2
android,2020-03,0,0,6088,61.42296320630749,1996.7657687253613,184.52578843626807,1.5259526938239159,2853.4702693823915,0.0,1.799934296977661,0.5254599211563732,3.3623521681997373,0.7296320630749015,0.9243833576184057,0.0636058890971672,0.03778068138781121,0,3
android,2020-04,0,0,6568,62.106120584652864,1994.525730816078,183.96193666260658,1.5190316686967114,2823.9658952496957,0.0,1.8252131546894033,0.48995127892813645,3.3839829476248475,0.7270097442143727,0.9103005222377566,0.06007531117390794,0.01904853733961473,0,4
android,2020-05,0,0,6487,61.86449822722368,1992.0129489748729,184.93479266224756,1.520887929705565,2818.7524279327886,0.0,1.778480036997071,0.4860490211191614,3.435794666255588,0.7141976260212733,0.8998351917460379,0.06145550603636743,0.03302525630423417,0,5
android,2020-06,0,0,5982,61.79388164493481,1959.2678034102307,182.81695085255768,1.4998328318288199,2775.3022400534937,0.0,1.8326646606486126,0.4908057505850886,3.398528920093614,0.7109662320294216,0.8885175027226926,0.054606310747669966,0.021483574763638852,0,6
android,2020-07,0,0,5786,62.56135499481507,1987.6832008295887,186.30400967853438,1.5248876598686485,2822.9196335983406,0.0,1.767715174559281,0.4889388178361562,3.4519529899758035,0.717767023850674,0.9001310536205168,0.067611313514012,0.042229632334837564,0,7
android,2020-08,0,0,5045,62.70961347869177,2038.5756194251735,190.56749256689793,1.5070366699702675,2881.957978196234,0.0,1.783548067393459,0.4592666005946482,3.4315163528245787,0.7157581764122894,0.9072573163685002,0.06663218409716602,0.02499670115158387,0,8
android,2020-09,0,0,4868,61.719802793755136,1887.1127773212818,179.52136400986032,1.4656943303204601,2635.481511914544,0.0,1.7744453574363188,0.46261298274445356,3.4527526705012326,0.7043960558751027,0.870729632269369,0.03717543884286144,0.011492386282773598,0,9
android,2020-10,0,0,4952,63.20234248788368,1899.8998384491115,178.11934571890146,1.4198303715670437,2651.03352180937,0.0,1.5896607431340872,0.45537156704361875,3.4297253634894993,0.68921647819063,0.8648549323947262,0.02942457082814102,-0.00263165781522704,0,10
android,2020-11,0,0,4516,62.79517271922055,1872.9913640389725,179.53542958370238,1.4470770593445528,2590.3664747564217,0.0,1.7484499557130204,0.4428697962798937,3.4484056687333924,0.6975199291408326,0.8709833715472634,0.03271067116061309,-0.0029139660873455818,0,11
android,2020-12,0,0,4516,62.37865367581931,1941.4964570416298,182.05912311780335,1.4729849424269266,2709.664526129318,0.0,1.787643932683791,0.49844995571302037,3.4023472099202836,0.7096988485385297,0.8837463895524348,0.05184776557728263,0.02618422630336812,0,12
android,2021-01,0,0,4709,62.43597366744532,1954.0520280314292,185.39605011679762,1.5266510936504565,2724.389254618815,0.0,1.8834147377362498,0.48226799745168825,3.409641112762795,0.6988744956466341,0.8697317781780616,0.060847543931121226,0.023999851108802248,0,13
android,2021-02,0,0,4075,62.21815950920245,1940.3639263803682,183.37938650306748,1.5006134969325153,2702.0981595092026,0.0,1.8107975460122698,0.4851533742331288,3.4117791411042946,0.7001226993865031,0.8607158111475127,0.05272388445852976,0.022563025908018123,0,14
android,2021-03,0,0,4483,62.910997100156145,1918.6845862145885,182.03055989292884,1.458175329020745,2682.7267454829357,0.0,1.771804595137185,0.4358688378318091,3.4380994869507027,0.6874860584430069,0.8628289548645887,0.03979710006313478,-0.005599880194410795,0,15
android,2021-04,0,0,4335,63.136562860438296,2031.5727797001152,190.02883506343713,1.5118800461361015,2876.195847750865,0.0,1.8442906574394464,0.4572087658592849,3.4604382929642443,0.6980392156862745,0.8862647332150962,0.07293694071022613,0.03074880328456545,0,16
android,2021-05,0,0,4346,63.0524620340543,1905.4150943396226,178.79360331339163,1.4438564196962724,2634.1329958582605,0.0,1.8168430740911183,0.4374137137597791,3.4933271974229174,0.6875287620800736,0.8601435748485797,0.04234763471232006,0.004695658297447504,0,17
android,2021-06,0,0,4292,63.89748369058714,1943.1297763280522,179.25046598322461,1.4440820130475303,2722.1735787511648,0.0,1.7378844361602983,0.4282385834109972,3.473438956197577,0.684762348555452,0.8715278929949392,0.04445598156909343,-0.006171697217806209,0,18
android,2021-07,0,0,4106,63.805163175840235,1984.746225036532,182.12907939600584,1.4427666829030688,2810.3701899659036,0.0,1.7394057476863127,0.462493911349245,3.563078421821724,0.6773015099853872,0.8642011051348863,0.06716222366251766,0.04778699386088174,0,19
