primary_tag,month_id,questions,ai_title_hits,high_tag,exposure_index,chatgpt_hits,copilot_hits,claude_hits,gemini_hits,deepseek_hits,openai_hits,anthropic_hits,bard_hits,llm_hits,gpt_family_hits,internal_ai_title_rate
android,2020-01,6067,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-02,5792,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-03,6088,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-04,6568,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-05,6487,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-06,5982,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-07,5786,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-08,5045,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-09,4868,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-10,4952,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-11,4516,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2020-12,4516,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-01,4709,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-02,4075,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-03,4483,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-04,4335,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-05,4346,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-06,4292,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-07,4106,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-08,4087,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-09,3960,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-10,3530,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-11,3630,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2021-12,3370,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-01,3829,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-02,3488,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-03,3665,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-04,3272,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-05,3284,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-06,3152,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-07,3184,1,0.0,-0.5824723369899437,0,1,0,0,0,0,0,0,0,0,0.000314070351758794
android,2022-08,3392,1,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,1,0.00029481132075471697
android,2022-09,2885,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-10,2931,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-11,2870,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2022-12,2589,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-01,2689,2,0.0,-0.5824723369899437,0,0,0,0,0,2,0,0,0,0,0.0007437709185570844
android,2023-02,2305,3,0.0,-0.5824723369899437,1,0,0,0,0,2,0,0,0,0,0.0013015184381778742
android,2023-03,2432,4,0.0,-0.5824723369899437,0,0,0,0,0,4,0,0,0,3,0.001644736842105263
android,2023-04,1992,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-05,1956,4,0.0,-0.5824723369899437,1,0,0,0,0,3,0,0,0,0,0.002044989775051125
android,2023-06,1899,2,0.0,-0.5824723369899437,0,0,0,0,0,2,0,0,0,1,0.00105318588730911
android,2023-07,1782,2,0.0,-0.5824723369899437,1,0,0,0,0,1,0,0,0,0,0.001122334455667789
android,2023-08,1905,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-09,1730,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-10,1772,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-11,1629,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2023-12,1454,2,0.0,-0.5824723369899437,0,0,0,1,0,1,0,0,0,0,0.001375515818431912
android,2024-01,1539,2,0.0,-0.5824723369899437,2,0,0,0,0,0,0,0,0,0,0.001299545159194282
android,2024-02,1456,2,0.0,-0.5824723369899437,0,0,0,0,0,2,0,0,0,0,0.0013736263736263737
android,2024-03,1432,1,0.0,-0.5824723369899437,0,0,0,1,0,0,0,0,0,0,0.0006983240223463687
android,2024-04,1255,1,0.0,-0.5824723369899437,1,0,0,0,0,0,0,0,0,0,0.0007968127490039841
android,2024-05,1392,2,0.0,-0.5824723369899437,1,0,0,1,0,0,0,0,0,0,0.0014367816091954023
android,2024-06,1049,2,0.0,-0.5824723369899437,0,0,0,2,0,0,0,0,0,0,0.0019065776930409914
android,2024-07,1017,0,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,0,0,0.0
android,2024-08,981,1,0.0,-0.5824723369899437,0,0,0,0,0,0,0,0,1,0,0.0010193679918450561
