window,outcome,coef,se,pval,nobs
through_2023_02,first_answer_1d_rate,-0.020353984926876654,0.00921656033871156,0.027215396202593348,608
through_2023_02,any_answer_7d_rate,-0.014282252700195813,0.00840929355375837,0.08943434372267905,608
through_2023_02,accepted_vote_30d_rate,0.011534139103800266,0.004420568070726774,0.009075460944609644,608
through_2023_06,first_answer_1d_rate,-0.021351165141684215,0.009805106410154491,0.029439132305813263,672
through_2023_06,any_answer_7d_rate,-0.01721860886097319,0.00841024373760525,0.040624941169358345,672
through_2023_06,accepted_vote_30d_rate,0.009757044623714822,0.0034401366573935384,0.004564848495813361,672
through_2023_12,first_answer_1d_rate,-0.027056250957528317,0.010561636452083575,0.010414685842138187,768
through_2023_12,any_answer_7d_rate,-0.020837446751699695,0.009079641112084843,0.021735204747374694,768
through_2023_12,accepted_vote_30d_rate,0.010202814497967018,0.0027386128721876486,0.0001948967809807826,768
through_2024_12,first_answer_1d_rate,-0.031214114427043603,0.01078029137328548,0.003785795602498632,960
through_2024_12,any_answer_7d_rate,-0.025378231057323432,0.009162300642458238,0.005608150058483094,960
through_2024_12,accepted_vote_30d_rate,0.009830851798191416,0.003079749217325138,0.0014124491335978544,960
full_2025,first_answer_1d_rate,-0.03253075449220411,0.010482813974831634,0.001914102180839466,1147
full_2025,any_answer_7d_rate,-0.026740584830167276,0.008870187782224322,0.0025726895495084712,1147
full_2025,accepted_vote_30d_rate,0.00913390653324787,0.0028939420362267014,0.0015983037997761972,1140
