outcome,coef,se,pval,nobs,r2
complexity_index_mean,-0.009790915026510433,0.010454693904090968,0.34901117634148926,1147.0,0.9421105419474988
title_length_chars_mean,-0.3083391998297987,0.2378916372317652,0.19492966983799354,1147.0,0.938439122753271
body_word_count_mean,1.6686403842165514,3.1501886637636085,0.5963231510424891,1147.0,0.9392106323941087
code_block_count_mean,-0.04817597531604243,0.025439952702925376,0.05826308266327724,1147.0,0.8982383467340138
code_char_count_mean,-28.98909408866496,69.18500234137738,0.6752100255551663,1147.0,0.9375190371054041
error_keyword_density_mean,0.0,0.0,,1147.0,
tag_count_full_mean,-0.014896008399495777,0.021660049495059785,0.4916303104499943,1147.0,0.9234403936006492
shape_q2_share,0.00422581344866115,0.0033185151969188074,0.20287440632748477,1147.0,0.7613398550554891
shape_q3_share,0.004295680988974842,0.0021983536268821175,0.050695945310179354,1147.0,0.6403391904574162
shape_q4_share,-0.006660293962676403,0.008750343433568382,0.44656952237050607,1147.0,0.9318975081068428
