tag,group,month_id,high_tag,post_chatgpt,n_questions,accepted_rate,mean_log_answers,mean_log_views,log_questions,high_post,time_index
android,low,2022-01,0,0,3878.0,0.32284682826199074,0.596763291531479,5.585481236293689,8.263332667439967,0,1
android,low,2022-02,0,0,3535.0,0.3157001414427157,0.5912791513010552,5.5448859830368535,8.170751423757535,0,2
android,low,2022-03,0,0,4732.0,0.25401521555367707,0.44522119883674277,5.248504945703252,8.462314529906248,0,3
android,low,2022-04,0,0,4342.0,0.23468447719944727,0.4366346611663714,5.080783243157266,8.376320632534823,0,4
android,low,2022-05,0,0,4439.0,0.22189682360892093,0.41235467801770237,4.9738267461761,8.39840965542627,0,5
android,low,2022-06,0,0,4246.0,0.23622232689590203,0.4234913897161143,4.845939284695596,8.353968130313271,0,6
android,low,2022-07,0,0,4197.0,0.23969502025256134,0.4415601519962198,4.770517234256136,8.342363500380579,0,7
android,low,2022-08,0,0,4571.0,0.24239772478669874,0.43034070522729795,4.669596820317031,8.427706024914702,0,8
android,low,2022-09,0,0,3951.0,0.2217160212604404,0.42635171267266136,4.50644525979163,8.281977058867758,0,9
android,low,2022-10,0,0,4037.0,0.2145157295021055,0.4019321568297686,4.345657862241972,8.303504798872783,0,10
android,low,2022-11,0,0,3957.0,0.22087439979782664,0.3974528155376805,4.119126811680614,8.28349412616251,0,11
android,low,2022-12,0,1,3631.0,0.21233819884329386,0.3787876052255727,3.9948814794026064,8.197538739721184,0,12
android,low,2023-01,0,1,3733.0,0.1995713903027056,0.38060645694708756,3.723395998374325,8.225235324101668,0,13
android,low,2023-02,0,1,3698.0,0.14737696051919957,0.3120387972269205,3.2831085231527837,8.215817791832453,0,14
android,low,2023-03,0,1,542.0,0.07011070110701106,0.23821232966989514,2.8371096126082174,6.297109319933935,0,15
apache-spark,low,2022-01,0,0,426.0,0.38497652582159625,0.5687875510232511,5.69493603513231,6.056784013228625,0,1
apache-spark,low,2022-02,0,0,442.0,0.3891402714932127,0.5794441727284272,5.647889923695306,6.093569770045136,0,2
apache-spark,low,2022-03,0,0,541.0,0.2365988909426987,0.3937298800040914,5.169481357702076,6.295266001439646,0,3
apache-spark,low,2022-04,0,0,486.0,0.25925925925925924,0.43664709032793314,5.1693337835402335,6.18826412308259,0,4
apache-spark,low,2022-05,0,0,542.0,0.2693726937269373,0.4291502513063943,4.958049445166908,6.297109319933935,0,5
apache-spark,low,2022-06,0,0,519.0,0.30057803468208094,0.4654301224551175,4.829999996112525,6.253828811575473,0,6
apache-spark,low,2022-07,0,0,506.0,0.2964426877470356,0.44120078314983363,4.706286528637734,6.2285110035911835,0,7
apache-spark,low,2022-08,0,0,510.0,0.27058823529411763,0.4416911750869766,4.65023272076485,6.236369590203704,0,8
apache-spark,low,2022-09,0,0,468.0,0.2564102564102564,0.41356330774657263,4.381678220808804,6.150602768446279,0,9
apache-spark,low,2022-10,0,0,518.0,0.333976833976834,0.4806960057597904,4.338839715806486,6.251903883165888,0,10
apache-spark,low,2022-11,0,0,495.0,0.24848484848484848,0.38844038017485394,4.060329748969355,6.206575926724928,0,11
apache-spark,low,2022-12,0,1,431.0,0.23665893271461716,0.4643262696302703,4.08369040225131,6.068425588244111,0,12
apache-spark,low,2023-01,0,1,384.0,0.2760416666666667,0.47061882726132237,3.859571915617474,5.953243334287785,0,13
apache-spark,low,2023-02,0,1,435.0,0.2206896551724138,0.4096105908446455,3.4849596507853517,6.077642243349034,0,14
apache-spark,low,2023-03,0,1,59.0,0.0847457627118644,0.32119559231239475,2.854330457633841,4.0943445622221,0,15
bash,high,2022-01,1,0,646.0,0.5247678018575851,0.7737467716891175,5.062640289613406,6.472346294500901,0,1
bash,high,2022-02,1,0,606.0,0.49174917491749176,0.7397915364126592,4.969231403607614,6.408528791059498,0,2
bash,high,2022-03,1,0,637.0,0.4552590266875981,0.7024283868632044,4.853130784681642,6.45833828334479,0,3
bash,high,2022-04,1,0,651.0,0.4731182795698925,0.7081583388042161,4.781417431739413,6.480044561926653,0,4
bash,high,2022-05,1,0,601.0,0.480865224625624,0.7328341496114916,4.692034619198772,6.400257445308821,0,5
bash,high,2022-06,1,0,603.0,0.49087893864013266,0.7473790071124529,4.541960344320523,6.403574197934815,0,6
bash,high,2022-07,1,0,608.0,0.4654605263157895,0.7534723461971213,4.600519026946412,6.411818267709897,0,7
bash,high,2022-08,1,0,560.0,0.49642857142857144,0.7499144766614765,4.369888120889891,6.329720905522696,0,8
bash,high,2022-09,1,0,496.0,0.4637096774193548,0.7250722177389983,4.22926592297778,6.208590026096629,0,9
bash,high,2022-10,1,0,557.0,0.44165170556552963,0.6601214576183003,4.017726571882759,6.324358962381311,0,10
bash,high,2022-11,1,0,581.0,0.4044750430292599,0.6442042193844605,3.8532813185560038,6.366470447731438,0,11
bash,high,2022-12,1,1,511.0,0.45792563600782776,0.7163995747690686,3.988905789766447,6.238324625039508,1,12
bash,high,2023-01,1,1,533.0,0.45590994371482174,0.6992724110648844,3.8648864949449555,6.280395838960195,1,13
bash,high,2023-02,1,1,494.0,0.3967611336032389,0.6439220246862171,3.6842689088581477,6.20455776256869,1,14
bash,high,2023-03,1,1,59.0,0.288135593220339,0.4952317052975479,3.432797425768229,4.0943445622221,1,15
docker,low,2022-01,0,0,1184.0,0.34121621621621623,0.5624502009097437,6.111175671135494,7.077498053569231,0,1
docker,low,2022-02,0,0,1102.0,0.3248638838475499,0.569930364164333,6.122891440842193,7.005789019253503,0,2
docker,low,2022-03,0,0,1388.0,0.2557636887608069,0.45030853656786507,5.854227747205471,7.236339342754344,0,3
docker,low,2022-04,0,0,1370.0,0.2824817518248175,0.45319256935999014,5.746877961706911,7.223295679562314,0,4
docker,low,2022-05,0,0,1465.0,0.25597269624573377,0.4403004323763144,5.570682440391325,7.290292882446597,0,5
