primary_tag,month_id,is_expert,n_user_tag_pairs,mean_log_answers,share_active,mean_answers,exposure_index,high_tag,post_chatgpt,exposure_post,expert_post,exposure_expert,exposure_post_expert
android,2020-01,0,4244,0.15344128297758322,0.1291234684260132,0.36710650329877476,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-01,1,915,0.538528035890576,0.3224043715846995,2.2808743169398906,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-02,0,4244,0.15691448051394633,0.14255419415645618,0.354382657869934,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-02,1,915,0.543340868145085,0.3256830601092896,2.278688524590164,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-03,0,4244,0.16376761921012967,0.1531573986804901,0.3560320452403393,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-03,1,915,0.5633681958038703,0.35737704918032787,2.3049180327868855,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-04,0,4244,0.15435278678389966,0.14019792648444862,0.34354382657869936,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-04,1,915,0.5664806621434124,0.33224043715846996,2.6043715846994537,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-05,0,4244,0.15616814050640668,0.1444392082940622,0.3520263901979265,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-05,1,915,0.5668591159222872,0.35737704918032787,2.3595628415300545,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-06,0,4244,0.15851949890494857,0.14844486333647502,0.35179076343072574,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-06,1,915,0.5280198986579419,0.346448087431694,2.1562841530054646,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-07,0,4244,0.147751639070749,0.13972667295004712,0.3166823751178134,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-07,1,915,0.5500211397121615,0.346448087431694,2.273224043715847,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-08,0,4244,0.13125028999488364,0.13006597549481622,0.2660226201696513,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-08,1,915,0.5166664806326002,0.3453551912568306,1.907103825136612,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-09,0,4244,0.13979274931065516,0.1373704052780396,0.29335532516493873,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-09,1,915,0.5016129935704744,0.3475409836065574,1.7234972677595628,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-10,0,4244,0.13169440054300943,0.13383600377002827,0.27285579641847313,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-10,1,915,0.5321918482409371,0.3519125683060109,1.9147540983606557,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-11,0,4244,0.12733835823806602,0.12535344015080113,0.26366635249764375,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-11,1,915,0.4852205075623752,0.3344262295081967,1.7617486338797814,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2020-12,0,4244,0.12556950808306225,0.12723845428840716,0.2606032045240339,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2020-12,1,915,0.4885707964102157,0.34316939890710385,1.7868852459016393,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2021-01,0,4244,0.1322360123016844,0.13124410933081998,0.2756833176248822,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2021-01,1,915,0.5093333400715578,0.35081967213114756,1.9737704918032788,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2021-02,0,4244,0.11242082262737843,0.11592836946277098,0.22714420358152687,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2021-02,1,915,0.43557407694682043,0.3114754098360656,1.5234972677595628,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2021-03,0,4244,0.11894651761832166,0.12229029217719133,0.2360980207351555,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2021-03,1,915,0.4575876143101273,0.32459016393442625,1.7595628415300546,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
android,2021-04,0,4244,0.11170279154524941,0.11616399622997173,0.21960414703110273,-0.5824723369899437,0,0,-0.0,0,-0.0,-0.0
android,2021-04,1,915,0.45565914166393257,0.31256830601092894,1.8349726775956283,-0.5824723369899437,0,0,-0.0,0,-0.5824723369899437,-0.0
