primary_tag,answerer_user_id,any_postshock_answer,postshock_answer_count,postshock_active_months,is_expert,exposure_index,high_tag,preshock_answers,postshock_silent,exposure_expert
android,1338.0,1,12.0,9,1,-0.5824723369899437,0,75,0,-0.5824723369899437
android,2684.0,1,13.0,6,1,-0.5824723369899437,0,115,0,-0.5824723369899437
android,6309.0,1,1.0,1,1,-0.5824723369899437,0,20,0,-0.5824723369899437
android,8976.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,9204.0,1,1.0,1,1,-0.5824723369899437,0,43,0,-0.5824723369899437
android,14637.0,1,1.0,1,0,-0.5824723369899437,0,13,0,-0.0
android,18591.0,0,0.0,0,0,-0.5824723369899437,0,7,1,-0.0
android,20444.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,20713.0,0,0.0,0,0,-0.5824723369899437,0,9,1,-0.0
android,22483.0,1,11.0,9,1,-0.5824723369899437,0,22,0,-0.5824723369899437
android,25124.0,0,0.0,0,0,-0.5824723369899437,0,6,1,-0.0
android,26346.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,28376.0,0,0.0,0,0,-0.5824723369899437,0,16,1,-0.0
android,38333.0,1,4.0,2,0,-0.5824723369899437,0,19,0,-0.0
android,40013.0,1,11.0,7,1,-0.5824723369899437,0,55,0,-0.5824723369899437
android,40342.0,1,1.0,1,0,-0.5824723369899437,0,10,0,-0.0
android,45364.0,1,3.0,3,0,-0.5824723369899437,0,7,0,-0.0
android,49746.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,51591.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,61158.0,1,8.0,6,1,-0.5824723369899437,0,51,0,-0.5824723369899437
android,61479.0,1,2.0,2,1,-0.5824723369899437,0,43,0,-0.5824723369899437
android,65863.0,1,18.0,11,1,-0.5824723369899437,0,27,0,-0.5824723369899437
android,68051.0,1,4.0,4,0,-0.5824723369899437,0,8,0,-0.0
android,70261.0,1,15.0,13,0,-0.5824723369899437,0,15,0,-0.0
android,70942.0,1,3.0,3,0,-0.5824723369899437,0,7,0,-0.0
android,72437.0,1,5.0,5,0,-0.5824723369899437,0,7,0,-0.0
android,76714.0,1,3.0,3,0,-0.5824723369899437,0,7,0,-0.0
android,95482.0,1,2.0,2,0,-0.5824723369899437,0,6,0,-0.0
android,97714.0,0,0.0,0,0,-0.5824723369899437,0,6,1,-0.0
android,101361.0,1,10.0,2,1,-0.5824723369899437,0,261,0,-0.5824723369899437
android,104891.0,0,0.0,0,0,-0.5824723369899437,0,8,1,-0.0
android,106941.0,0,0.0,0,0,-0.5824723369899437,0,8,1,-0.0
android,109219.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,112263.0,0,0.0,0,0,-0.5824723369899437,0,9,1,-0.0
android,115145.0,1,527.0,37,1,-0.5824723369899437,0,1185,0,-0.5824723369899437
android,118862.0,1,4.0,4,1,-0.5824723369899437,0,47,0,-0.5824723369899437
android,123839.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,139985.0,1,9.0,6,1,-0.5824723369899437,0,100,0,-0.5824723369899437
android,150978.0,1,75.0,24,1,-0.5824723369899437,0,88,0,-0.5824723369899437
android,154306.0,1,5.0,3,0,-0.5824723369899437,0,5,0,-0.0
android,156869.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,161293.0,0,0.0,0,0,-0.5824723369899437,0,9,1,-0.0
android,179715.0,1,4.0,3,0,-0.5824723369899437,0,17,0,-0.0
android,180538.0,1,1.0,1,0,-0.5824723369899437,0,11,0,-0.0
android,185498.0,0,0.0,0,0,-0.5824723369899437,0,8,1,-0.0
android,186046.0,1,2.0,2,0,-0.5824723369899437,0,5,0,-0.0
android,191761.0,1,5.0,3,0,-0.5824723369899437,0,5,0,-0.0
android,192373.0,1,1.0,1,1,-0.5824723369899437,0,45,0,-0.5824723369899437
android,193980.0,1,1.0,1,0,-0.5824723369899437,0,5,0,-0.0
android,197141.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,199364.0,1,17.0,8,1,-0.5824723369899437,0,44,0,-0.5824723369899437
android,199498.0,0,0.0,0,0,-0.5824723369899437,0,14,1,-0.0
android,202179.0,1,1.0,1,1,-0.5824723369899437,0,26,0,-0.5824723369899437
android,208273.0,1,9.0,6,1,-0.5824723369899437,0,294,0,-0.5824723369899437
android,209103.0,1,79.0,29,1,-0.5824723369899437,0,384,0,-0.5824723369899437
android,210785.0,0,0.0,0,0,-0.5824723369899437,0,11,1,-0.0
android,212862.0,1,10.0,6,0,-0.5824723369899437,0,8,0,-0.0
android,213817.0,0,0.0,0,0,-0.5824723369899437,0,8,1,-0.0
android,214525.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,219159.0,0,0.0,0,0,-0.5824723369899437,0,11,1,-0.0
android,220579.0,0,0.0,0,0,-0.5824723369899437,0,5,1,-0.0
android,220765.0,1,18.0,15,0,-0.5824723369899437,0,14,0,-0.0
