tag,group,window_id,month_order,post_chatgpt,high_tag,time_index,time_post,n_questions,accepted_rate,answered_share,novice_share,mean_answer_count,mean_log_answers,mean_score,mean_log_views,mean_owner_rep,mean_log_owner_rep,high_post,log_questions
bash,high,2022-01,2022-01,0,1,1.0,0.0,198,0.5656565656565656,0.7878787878787878,0.6616161616161617,1.3585858585858586,0.7860366369995689,0.7474747474747475,6.064858987748738,2370.7979797979797,5.272332524779054,0,5.293304824724492
bash,high,2022-02,2022-02,0,1,2.0,0.0,212,0.5566037735849056,0.7405660377358491,0.6933962264150944,1.349056603773585,0.7845343038686104,0.5330188679245284,6.041739942889061,2082.561320754717,4.891102590490959,0,5.3612921657094255
bash,high,2022-03,2022-03,0,1,3.0,0.0,207,0.48792270531400966,0.6666666666666666,0.6859903381642513,1.2705314009661837,0.733931336514798,0.42028985507246375,5.804594567480567,2463.9565217391305,4.794876649495673,0,5.337538079701318
bash,high,2022-04,2022-04,0,1,4.0,0.0,210,0.5047619047619047,0.6761904761904762,0.7095238095238096,1.3714285714285714,0.7636919657879145,0.3476190476190476,5.809294942971196,846.8619047619047,4.34728078691987,0,5.351858133476067
bash,high,2022-05,2022-05,0,1,5.0,0.0,171,0.49707602339181284,0.6432748538011696,0.7660818713450293,1.4152046783625731,0.7804112198549826,0.6081871345029239,5.913546633110935,1563.046783625731,4.780023424992751,0,5.147494476813453
bash,high,2022-06,2022-06,0,1,6.0,0.0,175,0.52,0.68,0.7257142857142858,1.5142857142857142,0.8081870916495997,0.4514285714285714,5.895280900562553,1151.2114285714285,4.599522264865698,0,5.170483995038151
bash,high,2022-07,2022-07,0,1,7.0,0.0,168,0.49404761904761907,0.6607142857142857,0.7559523809523809,1.4226190476190477,0.7798729551186477,0.8154761904761905,5.830170229055421,1784.2261904761904,4.514567162609909,0,5.1298987149230735
bash,high,2022-08,2022-08,0,1,8.0,0.0,196,0.5510204081632653,0.6989795918367347,0.6836734693877551,1.280612244897959,0.7446114526307601,0.40816326530612246,5.63118665266824,3263.576530612245,4.96025671634912,0,5.2832037287379885
bash,high,2022-09,2022-09,0,1,9.0,0.0,120,0.5416666666666666,0.7416666666666667,0.75,1.475,0.8272467905865805,0.15833333333333333,5.4844811746237845,1353.375,4.671474962359028,0,4.795790545596741
bash,high,2022-10,2022-10,0,1,10.0,0.0,171,0.47953216374269003,0.6783625730994152,0.6900584795321637,1.2748538011695907,0.7458495288864301,0.16374269005847952,5.662268942367844,956.5497076023391,4.5332749182182965,0,5.147494476813453
bash,high,2022-11,2022-11,0,1,11.0,0.0,173,0.45664739884393063,0.6473988439306358,0.815028901734104,1.2196531791907514,0.710980565171844,0.20809248554913296,5.269903724454914,670.6184971098265,4.028747370603953,0,5.159055299214529
bash,high,2022-12,2022-12,1,1,12.0,1.0,180,0.4888888888888889,0.6888888888888889,0.7055555555555556,1.2833333333333334,0.7466561446722915,0.3111111111111111,5.471751747903077,3703.3055555555557,4.469946908647259,1,5.198497031265826
bash,high,2023-01,2023-01,1,1,13.0,2.0,127,0.4409448818897638,0.6771653543307087,0.7322834645669292,1.3385826771653544,0.7575188167350292,0.3228346456692913,5.260221264052829,2324.3937007874015,4.429912877747093,1,4.852030263919617
bash,high,2023-02,2023-02,1,1,14.0,3.0,155,0.5096774193548387,0.7032258064516129,0.6838709677419355,1.3096774193548386,0.734337934355993,0.3419354838709677,5.321616551980276,1604.374193548387,4.926369871748536,1,5.049856007249537
bash,high,2023-03,2023-03,1,1,15.0,4.0,117,0.5726495726495726,0.7094017094017094,0.7008547008547008,1.1794871794871795,0.7149662464664834,0.5726495726495726,5.354964209791574,1665.5128205128206,4.515995760594728,1,4.770684624465665
bash,high,2023-04,2023-04,1,1,16.0,5.0,101,0.43564356435643564,0.6237623762376238,0.6237623762376238,1.4059405940594059,0.7567514550349241,0.6336633663366337,5.510912593133102,1476.980198019802,5.146317172203022,1,4.624972813284271
bash,high,2023-05,2023-05,1,1,17.0,6.0,102,0.46078431372549017,0.7156862745098039,0.6666666666666666,1.392156862745098,0.7757600454865784,0.28431372549019607,5.289072174112654,2782.8529411764707,4.959079525976428,1,4.634728988229636
bash,high,2023-06,2023-06,1,1,18.0,7.0,73,0.4520547945205479,0.6438356164383562,0.684931506849315,1.3150684931506849,0.7375971720427551,0.3013698630136986,5.268647705513207,1192.6575342465753,4.969300890367534,1,4.30406509320417
bash,high,2023-07,2023-07,1,1,19.0,8.0,81,0.4691358024691358,0.6172839506172839,0.6790123456790124,1.2839506172839505,0.7141481496998019,0.2345679012345679,5.240456420089517,4293.888888888889,4.852819723661052,1,4.406719247264253
bash,high,2023-08,2023-08,1,1,20.0,9.0,89,0.5393258426966292,0.7528089887640449,0.6629213483146067,1.4831460674157304,0.8021695594097122,0.6067415730337079,5.316934276044509,2425.505617977528,4.984111440745186,1,4.499809670330265
bash,high,2023-09,2023-09,1,1,21.0,10.0,75,0.41333333333333333,0.72,0.64,1.4266666666666667,0.7862917783399195,0.6,5.505146597708515,5225.666666666667,5.164481955814311,1,4.330733340286331
bash,high,2023-10,2023-10,1,1,22.0,11.0,65,0.47692307692307695,0.7538461538461538,0.7846153846153846,1.2615384615384615,0.7199282879671582,0.3076923076923077,5.496027168492613,2114.076923076923,4.289081023349067,1,4.189654742026425
bash,high,2023-11,2023-11,1,1,23.0,12.0,43,0.5116279069767442,0.7674418604651163,0.7209302325581395,1.0465116279069768,0.6584837767599937,0.32558139534883723,5.182646056876119,799.8604651162791,4.626962089730796,1,3.784189633918261
bash,high,2023-12,2023-12,1,1,24.0,13.0,66,0.5,0.7727272727272727,0.7272727272727273,1.5,0.8064944851098834,0.25757575757575757,5.434899115431225,2873.909090909091,4.45710323502721,1,4.204692619390966
docker,low,2022-01,2022-01,0,0,1.0,0.0,89,0.43820224719101125,0.5393258426966292,0.550561797752809,0.898876404494382,0.582941646513684,0.8651685393258427,6.835508539080866,2592.14606741573,5.700616021859451,0,4.499809670330265
docker,low,2022-02,2022-02,0,0,2.0,0.0,91,0.3956043956043956,0.5054945054945055,0.5934065934065934,0.945054945054945,0.5750339960697395,1.1978021978021978,6.850244016461352,1610.1208791208792,5.138324161297841,0,4.5217885770490405
docker,low,2022-03,2022-03,0,0,3.0,0.0,94,0.22340425531914893,0.44680851063829785,0.5638297872340425,1.053191489361702,0.6110695214635722,1.6808510638297873,6.991301437989183,2665.468085106383,5.281629273334884,0,4.553876891600541
docker,low,2022-04,2022-04,0,0,4.0,0.0,91,0.31868131868131866,0.4835164835164835,0.6483516483516484,1.1758241758241759,0.6191105120398829,2.2637362637362637,6.940406076396333,1117.0549450549452,5.13770456207432,0,4.5217885770490405
docker,low,2022-05,2022-05,0,0,5.0,0.0,90,0.3333333333333333,0.4777777777777778,0.6666666666666666,1.0666666666666667,0.6029328161727566,1.7777777777777777,6.915881724328772,1283.4777777777779,5.201024531940664,0,4.51085950651685
docker,low,2022-06,2022-06,0,0,6.0,0.0,93,0.3763440860215054,0.5376344086021505,0.6451612903225806,1.043010752688172,0.6318404553137452,1.064516129032258,6.866915245110619,2224.4193548387098,5.066902366357521,0,4.543294782270004
docker,low,2022-07,2022-07,0,0,7.0,0.0,93,0.2903225806451613,0.4838709677419355,0.6881720430107527,0.9032258064516129,0.5526457478871397,1.2688172043010753,6.677748377224815,1448.47311827957,4.875523406541756,0,4.543294782270004
docker,low,2022-08,2022-08,0,0,8.0,0.0,94,0.2872340425531915,0.46808510638297873,0.5425531914893617,0.8829787234042553,0.5524885376686902,1.3829787234042554,6.757378629556219,2546.0851063829787,5.629776131472601,0,4.553876891600541
docker,low,2022-09,2022-09,0,0,9.0,0.0,92,0.31521739130434784,0.5434782608695652,0.6413043478260869,1.0543478260869565,0.6411337597336143,0.8369565217391305,6.6613542020429986,2147.086956521739,5.2635850389171726,0,4.532599493153256
docker,low,2022-10,2022-10,0,0,10.0,0.0,87,0.39080459770114945,0.5402298850574713,0.6666666666666666,0.9540229885057471,0.5948077603114178,0.8390804597701149,6.561541599104935,3730.977011494253,4.972107833417555,0,4.477336814478207
docker,low,2022-11,2022-11,0,0,11.0,0.0,95,0.3368421052631579,0.4421052631578947,0.6421052631578947,1.0210526315789474,0.6379477664688987,0.8210526315789474,6.3901439329149365,1759.7157894736843,5.272510656712164,0,4.564348191467836
docker,low,2022-12,2022-12,1,0,12.0,1.0,94,0.2978723404255319,0.48936170212765956,0.5425531914893617,0.9893617021276596,0.5951912789890773,1.627659574468085,6.6052395385239215,1925.5212765957447,5.691619981524478,0,4.553876891600541
docker,low,2023-01,2023-01,1,0,13.0,2.0,93,0.3333333333333333,0.46236559139784944,0.7096774193548387,0.8387096774193549,0.5293225898186502,0.9032258064516129,6.462916254004416,2480.3010752688174,5.223627884709175,0,4.543294782270004
docker,low,2023-02,2023-02,1,0,14.0,3.0,88,0.3181818181818182,0.45454545454545453,0.6590909090909091,0.9772727272727273,0.6013168216732774,0.9772727272727273,6.437952467734515,2837.9204545454545,5.081672205465757,0,4.48863636973214
docker,low,2023-03,2023-03,1,0,15.0,4.0,88,0.3181818181818182,0.45454545454545453,0.6818181818181818,0.8295454545454546,0.4950459133295287,1.0909090909090908,6.527450295973412,2008.9545454545455,4.870386927282698,0,4.48863636973214
