month_id,questions,ai_title_hits,chatgpt_hits,copilot_hits,claude_hits,cursor_hits,gemini_hits,deepseek_hits,openai_hits,anthropic_hits,llm_hits,gpt_family_hits,internal_ai_title_rate,internal_ai_title_log_hits,internal_chatgpt_title_rate,internal_chatgpt_title_log_hits,chatgpt_views,chatgpt_log_views,chatgpt_z,month_dt,time_index,post,internal_ai_title_rate_z_full,internal_ai_title_log_hits_z_full,internal_chatgpt_title_rate_z_full,internal_chatgpt_title_log_hits_z_full,chatgpt_log_views_z_full
2020-01,49054,64,0,0,0,60,0,0,4,0,0,0,0.0013046846332613038,4.174387269895637,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-01-01,0,0,-0.8004409662646748,0.5980880239535538,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-02,48419,68,0,0,0,64,0,0,4,0,0,0,0.0014044073607468142,4.23410650459726,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-02-01,1,0,-0.7558177347575031,0.7002694452877536,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-03,53527,62,0,0,0,60,0,0,2,0,0,0,0.0011582939451118127,4.143134726391533,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-03-01,2,0,-0.8659468517584109,0.5446139744029572,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-04,62700,73,0,0,0,67,0,0,6,0,0,0,0.001164274322169059,4.30406509320417,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-04-01,3,0,-0.8632707942873148,0.8199707116235463,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-05,64537,82,0,1,0,78,0,0,3,0,0,0,0.001270588964469994,4.418840607796598,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-05-01,4,0,-0.8156978586524961,1.0163550972241842,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-06,59726,80,0,0,0,78,0,0,2,0,0,0,0.0013394501557110806,4.394449154672439,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-06-01,5,0,-0.7848843324274226,0.9746205813502665,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-07,58227,69,0,1,0,65,0,0,3,0,0,0,0.0011850172600340048,4.248495242049359,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-07-01,6,0,-0.8539888889300747,0.7248890113522903,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-08,51964,59,0,0,0,57,0,0,2,0,0,0,0.0011354014317604495,4.0943445622221,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-08-01,7,0,-0.876190634182105,0.4611325241320272,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-09,48905,61,0,0,0,61,0,0,0,0,0,0,0.0012473162253348329,4.127134385045092,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-09-01,8,0,-0.826111781861578,0.5172369052094153,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
2020-10,49544,71,0,1,0,69,0,0,1,0,0,0,0.0014330695947036977,4.276666119016055,0.0,0.0,0.0,0.0,-1.0265186621478888,2020-10-01,9,0,-0.7429921579444686,0.7730902360175093,-0.5806321488880126,-0.6964674629820309,-1.0265186621478888
