window,outcome,coef,se,pval,nobs
through_2023_02,accepted_7d_rate,0.006908546293811339,0.003916382330177822,0.07772992161015195,608
through_2023_02,accepted_30d_rate,0.01153413910380027,0.0044205680707267775,0.009075460944609688,608
through_2023_02,first_answer_1d_rate,-0.02035398492687664,0.009216560338711554,0.0272153962025934,608
through_2023_06,accepted_7d_rate,0.005815704613562825,0.0027878560806914934,0.03697092869457259,672
through_2023_06,accepted_30d_rate,0.009757044623714814,0.0034401366573935353,0.004564848495813361,672
through_2023_06,first_answer_1d_rate,-0.02135116514168421,0.009805106410154505,0.029439132305813537,672
through_2023_12,accepted_7d_rate,0.006747066954962506,0.002546653667965717,0.00806383240521322,768
through_2023_12,accepted_30d_rate,0.010202814497967016,0.002738612872187651,0.00019489678098078594,768
through_2023_12,first_answer_1d_rate,-0.027056250957528304,0.010561636452083559,0.010414685842138125,768
through_2024_12,accepted_7d_rate,0.006170508355218042,0.0027924770556597375,0.02712669095868304,960
through_2024_12,accepted_30d_rate,0.0098308517981914,0.0030797492173251398,0.001412449133597891,960
through_2024_12,first_answer_1d_rate,-0.031214114427043617,0.010780291373285473,0.0037857956024985903,960
full_2025,accepted_7d_rate,0.005491836773286602,0.002581783111942774,0.03340772408338663,1147
full_2025,accepted_30d_rate,0.009133906533247872,0.002893942036226702,0.0015983037997761972,1140
full_2025,first_answer_1d_rate,-0.03253075449220413,0.010482813974831643,0.001914102180839473,1147
