tag,group,month_id,high_tag,post_chatgpt,n_questions,exposure_index,accepted_archive_rate,first_answer_1d_rate,first_answer_1d_denom,first_answer_7d_rate,first_answer_7d_denom,accepted_7d_rate,accepted_7d_denom,accepted_30d_rate,accepted_30d_denom,high_post,exposure_post,time_index,rel_month
android,low,2020-01,0,0,6107.0,-0.5824723369899437,0.3797281807761585,0.6158506631734075,6107.0,0.6874078925822826,6107.0,0.34190273456689046,6107.0,0.35991485180939903,6107.0,0,-0.0,1,-35
android,low,2020-02,0,0,5819.0,-0.5824723369899437,0.37583777281319813,0.6076645471730537,5819.0,0.6808730022340609,5819.0,0.3363120811135934,5819.0,0.35744973363120813,5819.0,0,-0.0,2,-34
android,low,2020-03,0,0,6108.0,-0.5824723369899437,0.3655861165684348,0.5861165684348395,6108.0,0.6643745907007204,6108.0,0.32678454485920105,6108.0,0.34577603143418467,6108.0,0,-0.0,3,-33
android,low,2020-04,0,0,6599.0,-0.5824723369899437,0.37657220791028945,0.6061524473405061,6599.0,0.6834368843764207,6599.0,0.3370207607213214,6599.0,0.3550537960297015,6599.0,0,-0.0,4,-32
android,low,2020-05,0,0,6514.0,-0.5824723369899436,0.3754989253914645,0.5812097021799202,6514.0,0.6601166717838501,6514.0,0.3383481731654897,6514.0,0.3567700337734111,6514.0,0,-0.0,5,-31
android,low,2020-06,0,0,6011.0,-0.5824723369899437,0.3668274829479288,0.5864248877058725,6011.0,0.6622858093495259,6011.0,0.33155880885044087,6011.0,0.34952586923972717,6011.0,0,-0.0,6,-30
android,low,2020-07,0,0,5816.0,-0.5824723369899437,0.3782668500687758,0.5814993122420908,5816.0,0.6655777166437414,5816.0,0.33700137551581844,5816.0,0.35488308115543327,5816.0,0,-0.0,7,-29
android,low,2020-08,0,0,5072.0,-0.5824723369899437,0.37559148264984227,0.568217665615142,5072.0,0.6585173501577287,5072.0,0.3318217665615142,5072.0,0.3566640378548896,5072.0,0,-0.0,8,-28
android,low,2020-09,0,0,4893.0,-0.5824723369899438,0.366850602902105,0.5610055180870631,4893.0,0.64847741671776,4893.0,0.32495401594114043,4893.0,0.3447782546494993,4893.0,0,-0.0,9,-27
android,low,2020-10,0,0,4976.0,-0.5824723369899437,0.3657556270096463,0.5606913183279743,4976.0,0.6519292604501608,4976.0,0.32435691318327975,4976.0,0.3462620578778135,4976.0,0,-0.0,10,-26
android,low,2020-11,0,0,4556.0,-0.5824723369899437,0.36830553116769094,0.5636523266022827,4556.0,0.6534240561896401,4556.0,0.3305531167690957,4556.0,0.3494293239683933,4556.0,0,-0.0,11,-25
android,low,2020-12,0,0,4554.0,-0.5824723369899438,0.3702239789196311,0.5612648221343873,4554.0,0.6442687747035574,4554.0,0.3252086078173035,4554.0,0.34914361001317523,4554.0,0,-0.0,12,-24
android,low,2021-01,0,0,4735.0,-0.5824723369899437,0.3708553326293559,0.587961985216473,4735.0,0.6667370644139388,4735.0,0.3300950369588173,4735.0,0.35205913410770856,4735.0,0,-0.0,13,-23
android,low,2021-02,0,0,4103.0,-0.5824723369899438,0.3512064343163539,0.5634901291737753,4103.0,0.6444065318059956,4103.0,0.3109919571045576,4103.0,0.33438947111869366,4103.0,0,-0.0,14,-22
android,low,2021-03,0,0,4512.0,-0.5824723369899437,0.34884751773049644,0.557845744680851,4512.0,0.6493794326241135,4512.0,0.31072695035460995,4512.0,0.33023049645390073,4512.0,0,-0.0,15,-21
android,low,2021-04,0,0,4362.0,-0.5824723369899436,0.36634571297569923,0.5703805593764328,4362.0,0.6458046767537826,4362.0,0.328748280605227,4362.0,0.34915176524530034,4362.0,0,-0.0,16,-20
android,low,2021-05,0,0,4388.0,-0.5824723369899437,0.3514129443938013,0.5487693710118505,4388.0,0.6344576116681859,4388.0,0.3124430264357338,4388.0,0.33226982680036465,4388.0,0,-0.0,17,-19
android,low,2021-06,0,0,4331.0,-0.5824723369899437,0.3595012699145694,0.573539598245209,4331.0,0.6525051951050566,4331.0,0.3225583006234126,4331.0,0.3442622950819672,4331.0,0,-0.0,18,-18
android,low,2021-07,0,0,4137.0,-0.5824723369899437,0.3512206913222142,0.5714285714285714,4137.0,0.6594150350495528,4137.0,0.3132704858593183,4137.0,0.3330916122794295,4137.0,0,-0.0,19,-17
android,low,2021-08,0,0,4114.0,-0.5824723369899438,0.34273213417598447,0.5532328633932913,4114.0,0.6336898395721925,4114.0,0.30043753038405446,4114.0,0.32158483228001944,4114.0,0,-0.0,20,-16
android,low,2021-09,0,0,3991.0,-0.5824723369899438,0.34001503382610876,0.5422199949887246,3991.0,0.6281633675770484,3991.0,0.3014282134803307,3991.0,0.3237283888749687,3991.0,0,-0.0,21,-15
android,low,2021-10,0,0,3547.0,-0.5824723369899437,0.3456442063715816,0.5418663659430505,3547.0,0.6301099520721737,3547.0,0.30561037496475896,3547.0,0.32647307583873697,3547.0,0,-0.0,22,-14
android,low,2021-11,0,0,3667.0,-0.5824723369899437,0.34360512680665395,0.5467684755931279,3667.0,0.6302154349604582,3667.0,0.3054267793836924,3667.0,0.32642487046632124,3667.0,0,-0.0,23,-13
android,low,2021-12,0,0,3398.0,-0.5824723369899437,0.32342554443790467,0.5256032960565038,3398.0,0.6118304885226604,3398.0,0.2839905826957034,3398.0,0.3042966450853443,3398.0,0,-0.0,24,-12
android,low,2022-01,0,0,3878.0,-0.5824723369899439,0.32284682826199074,0.5263022176379577,3878.0,0.6072717895822589,3878.0,0.28261990716864366,3878.0,0.3004125838060856,3878.0,0,-0.0,25,-11
android,low,2022-02,0,0,3535.0,-0.5824723369899437,0.3157001414427157,0.5185289957567185,3535.0,0.5983026874115983,3535.0,0.27864214992927866,3535.0,0.29816124469589816,3535.0,0,-0.0,26,-10
android,low,2022-03,0,0,4732.0,-0.5824723369899437,0.25401521555367707,0.39539306846999156,4732.0,0.4577345731191885,4732.0,0.2227387996618766,4732.0,0.23689771766694845,4732.0,0,-0.0,27,-9
android,low,2022-04,0,0,4342.0,-0.5824723369899437,0.23468447719944727,0.39774297558728694,4342.0,0.4617687701520037,4342.0,0.20958083832335328,4342.0,0.22385997236296637,4342.0,0,-0.0,28,-8
android,low,2022-05,0,0,4439.0,-0.5824723369899437,0.22189682360892093,0.36697454381617484,4439.0,0.4257715701734625,4439.0,0.19216039648569497,4439.0,0.20860554178869115,4439.0,0,-0.0,29,-7
