primary_tag,month_id,n_questions,exposure_index,high_tag,first_answer_12h_num,first_answer_12h_denom,first_answer_1d_num,first_answer_1d_denom,first_answer_7d_num,first_answer_7d_denom,accepted_7d_num,accepted_7d_denom,accepted_14d_num,accepted_14d_denom,accepted_30d_num,accepted_30d_denom,first_answer_12h_rate,first_answer_1d_rate,first_answer_7d_rate,accepted_7d_rate,accepted_14d_rate,accepted_30d_rate,post_chatgpt,exposure_post,time_index
android,2020-01,6067,-0.5824723369899437,0,3508,6067,3744,6067,4177,6067,921,6067,1071,6067,1169,6067,0.5782099884621724,0.6171089500576892,0.688478655018955,0.1518048458875886,0.1765287621559255,0.19268172078457227,0,-0.0,0
android,2020-02,5792,-0.5824723369899437,0,3305,5792,3524,5792,3949,5792,894,5792,1021,5792,1127,5792,0.570614640883978,0.6084254143646409,0.6818024861878453,0.15435082872928177,0.17627762430939226,0.19457872928176795,0,-0.0,1
android,2020-03,6088,-0.5824723369899437,0,3321,6088,3573,6088,4050,6088,897,6088,1031,6088,1132,6088,0.5454993429697766,0.586892247043364,0.6652431011826544,0.14733902759526937,0.16934954007884362,0.1859395532194481,0,-0.0,2
android,2020-04,6568,-0.5824723369899437,0,3700,6568,3990,6568,4499,6568,1002,6568,1170,6568,1274,6568,0.5633373934226553,0.6074908647990256,0.6849878197320342,0.152557856272838,0.17813641900121802,0.19397076735688185,0,-0.0,3
android,2020-05,6487,-0.5824723369899437,0,3520,6487,3776,6487,4288,6487,900,6487,1064,6487,1195,6487,0.5426237089563742,0.5820872514259288,0.6610143363650378,0.13873901649452752,0.16402034838908586,0.1842145830121782,0,-0.0,4
android,2020-06,5982,-0.5824723369899437,0,3252,5982,3514,5982,3968,5982,873,5982,1010,5982,1108,5982,0.5436308926780341,0.5874289535272484,0.6633233032430625,0.14593781344032097,0.16883985289200937,0.1852223336676697,0,-0.0,5
android,2020-07,5786,-0.5824723369899437,0,3110,5786,3369,5786,3856,5786,909,5786,1052,5786,1145,5786,0.5375043207742828,0.582267542343588,0.6664362253715866,0.1571033529208434,0.18181818181818182,0.1978914621500173,0,-0.0,6
android,2020-08,5045,-0.5824723369899437,0,2637,5045,2876,5045,3332,5045,834,5045,968,5045,1066,5045,0.5226957383548068,0.5700693756194252,0.6604558969276512,0.16531219028741329,0.1918731417244797,0.21129831516352823,0,-0.0,7
android,2020-09,4868,-0.5824723369899437,0,2522,4868,2741,4868,3168,4868,744,4868,852,4868,942,4868,0.5180772391125719,0.5630649137222679,0.6507806080525883,0.15283483976992604,0.17502054231717337,0.19350862777321282,0,-0.0,8
android,2020-10,4952,-0.5824723369899437,0,2558,4952,2780,4952,3233,4952,756,4952,873,4952,985,4952,0.5165589660743134,0.561389337641357,0.6528675282714055,0.15266558966074315,0.1762924071082391,0.19890953150242327,0,-0.0,9
android,2020-11,4516,-0.5824723369899437,0,2359,4516,2553,4516,2960,4516,675,4516,776,4516,848,4516,0.5223649247121346,0.5653232949512843,0.6554472984942427,0.14946855624446412,0.17183348095659876,0.18777679362267494,0,-0.0,10
android,2020-12,4516,-0.5824723369899437,0,2317,4516,2541,4516,2919,4516,688,4516,800,4516,890,4516,0.5130646589902569,0.562666076173605,0.6463684676705048,0.15234720992028344,0.1771479185119575,0.1970770593445527,0,-0.0,11
android,2021-01,4709,-0.5824723369899437,0,2551,4709,2779,4709,3151,4709,740,4709,847,4709,926,4709,0.5417286047993205,0.5901465279252496,0.669144191972818,0.15714589084731365,0.17986833722658738,0.1966447228710979,0,-0.0,12
android,2021-02,4075,-0.5824723369899437,0,2097,4075,2298,4075,2630,4075,586,4075,690,4075,759,4075,0.514601226993865,0.5639263803680982,0.645398773006135,0.1438036809815951,0.16932515337423312,0.18625766871165644,0,-0.0,13
android,2021-03,4483,-0.5824723369899437,0,2279,4483,2505,4483,2917,4483,679,4483,780,4483,852,4483,0.508364934195851,0.5587776042828463,0.6506803479812625,0.1514610751728753,0.17399063127370065,0.19005130492973454,0,-0.0,14
android,2021-04,4335,-0.5824723369899437,0,2304,4335,2483,4335,2811,4335,674,4335,765,4335,843,4335,0.5314878892733564,0.5727797001153403,0.6484429065743945,0.15547866205305652,0.17647058823529413,0.1944636678200692,0,-0.0,15
android,2021-05,4346,-0.5824723369899437,0,2211,4346,2394,4346,2769,4346,661,4346,757,4346,859,4346,0.5087436723423838,0.5508513575701794,0.6371375977910723,0.15209387942936034,0.17418315692590888,0.19765301426599172,0,-0.0,16
android,2021-06,4292,-0.5824723369899437,0,2305,4292,2473,4292,2812,4292,649,4292,763,4292,834,4292,0.5370456663560111,0.57618825722274,0.6551724137931034,0.15121155638397019,0.1777726001863933,0.19431500465983226,0,-0.0,17
android,2021-07,4106,-0.5824723369899437,0,2145,4106,2354,4106,2718,4106,626,4106,718,4106,810,4106,0.5224062347783731,0.573307355090112,0.6619581100828057,0.15245981490501706,0.17486604968339017,0.1972722844617633,0,-0.0,18
android,2021-08,4087,-0.5824723369899437,0,2075,4087,2261,4087,2591,4087,603,4087,696,4087,769,4087,0.5077073648152679,0.5532175189625642,0.6339613408367996,0.14754098360655737,0.17029606068020553,0.1881575727917788,0,-0.0,19
android,2021-09,3960,-0.5824723369899437,0,1957,3960,2152,3960,2495,3960,594,3960,694,3960,765,3960,0.4941919191919192,0.5434343434343434,0.6300505050505051,0.15,0.17525252525252524,0.19318181818181818,0,-0.0,20
android,2021-10,3530,-0.5824723369899437,0,1732,3530,1920,3530,2232,3530,542,3530,620,3530,688,3530,0.4906515580736544,0.5439093484419264,0.6322946175637394,0.15354107648725213,0.17563739376770537,0.19490084985835693,0,-0.0,21
android,2021-11,3630,-0.5824723369899437,0,1809,3630,1989,3630,2293,3630,554,3630,640,3630,699,3630,0.4983471074380165,0.5479338842975207,0.6316804407713499,0.15261707988980716,0.1763085399449036,0.1925619834710744,0,-0.0,22
android,2021-12,3370,-0.5824723369899437,0,1631,3370,1782,3370,2075,3370,479,3370,548,3370,618,3370,0.48397626112759645,0.5287833827893175,0.615727002967359,0.1421364985163205,0.1626112759643917,0.18338278931750743,0,-0.0,23
android,2022-01,3829,-0.5824723369899437,0,1853,3829,2027,3829,2338,3829,543,3829,630,3829,695,3829,0.4839383651083834,0.529381039435884,0.6106032906764168,0.1418124836772003,0.16453382084095064,0.18150953251501697,0,-0.0,24
android,2022-02,3488,-0.5824723369899437,0,1656,3488,1832,3488,2112,3488,471,3488,553,3488,612,3488,0.47477064220183485,0.5252293577981652,0.6055045871559633,0.13503440366972477,0.15854357798165136,0.17545871559633028,0,-0.0,25
android,2022-03,3665,-0.5824723369899437,0,1676,3665,1860,3665,2154,3665,527,3665,604,3665,661,3665,0.4572987721691678,0.5075034106412005,0.5877216916780355,0.14379263301500683,0.16480218281036835,0.18035470668485676,0,-0.0,26
android,2022-04,3272,-0.5824723369899437,0,1534,3272,1711,3272,1987,3272,456,3272,523,3272,576,3272,0.46882640586797064,0.5229217603911981,0.6072738386308069,0.1393643031784841,0.15984107579462103,0.17603911980440098,0,-0.0,27
android,2022-05,3284,-0.5824723369899437,0,1462,3284,1608,3284,1868,3284,425,3284,495,3284,555,3284,0.4451887941534714,0.48964677222898906,0.5688185140073082,0.12941534713763703,0.15073081607795372,0.1690012180267966,0,-0.0,28
android,2022-06,3152,-0.5824723369899437,0,1486,3152,1631,3152,1896,3152,489,3152,553,3152,600,3152,0.4714467005076142,0.5174492385786802,0.6015228426395939,0.15513959390862944,0.17544416243654823,0.19035532994923857,0,-0.0,29
