draw,coef_acceleration,tstat_acceleration,actual_coef_acceleration,actual_tstat_acceleration
0,-2.398601646812734e-05,-0.07616509956347808,3.231001264722483e-05,0.12220097051526978
1,2.22516326951311e-05,0.06280513390554408,3.231001264722483e-05,0.12220097051526978
2,-0.0003757931109745203,-2.4212696642487552,3.231001264722483e-05,0.12220097051526978
3,-0.00022125656411239105,-1.2018090721900248,3.231001264722483e-05,0.12220097051526978
4,0.0004628244050275296,1.3560210873183827,3.231001264722483e-05,0.12220097051526978
5,-0.0004625058572302167,-2.648429780579463,3.231001264722483e-05,0.12220097051526978
6,-0.0003742474706140888,-2.2927190552399326,3.231001264722483e-05,0.12220097051526978
7,0.00027865451628834934,2.3313093513072403,3.231001264722483e-05,0.12220097051526978
8,-8.022404756810432e-05,-0.32227768706541704,3.231001264722483e-05,0.12220097051526978
9,-0.0004449217485225815,-2.0090058937842814,3.231001264722483e-05,0.12220097051526978
10,-3.956965444241205e-05,-0.14389540676825863,3.231001264722483e-05,0.12220097051526978
11,-0.00017075463782688615,-2.0077107144108144,3.231001264722483e-05,0.12220097051526978
12,-6.320938569178356e-05,-0.23339096241692925,3.231001264722483e-05,0.12220097051526978
13,-0.000498480396626032,-1.9283499964583621,3.231001264722483e-05,0.12220097051526978
14,-0.00041090304370666736,-1.9945536744703518,3.231001264722483e-05,0.12220097051526978
15,0.0004020286134511964,1.3477867449753496,3.231001264722483e-05,0.12220097051526978
16,3.617485320849917e-05,0.129102555565779,3.231001264722483e-05,0.12220097051526978
17,-0.0004962326657501837,-3.3030144005039683,3.231001264722483e-05,0.12220097051526978
18,-0.00021276822380397612,-1.080711458568641,3.231001264722483e-05,0.12220097051526978
19,9.805416467680608e-05,0.35598811057167107,3.231001264722483e-05,0.12220097051526978
20,-0.00013034787815841657,-0.3382501733451802,3.231001264722483e-05,0.12220097051526978
21,-0.0002768063264073372,-1.1273999651773363,3.231001264722483e-05,0.12220097051526978
22,9.695406214639322e-05,0.40451933132139795,3.231001264722483e-05,0.12220097051526978
23,-0.0002248533860931479,-1.113954844378525,3.231001264722483e-05,0.12220097051526978
24,-0.00022517376703487256,-1.8312419636938218,3.231001264722483e-05,0.12220097051526978
25,5.925109592546879e-05,0.14978745916088965,3.231001264722483e-05,0.12220097051526978
26,-3.3629280012186634e-05,-0.09234832049633764,3.231001264722483e-05,0.12220097051526978
27,-0.00023463925042708535,-1.0958744278819326,3.231001264722483e-05,0.12220097051526978
28,0.00046834569486519837,1.803130979740928,3.231001264722483e-05,0.12220097051526978
29,0.00015640080056335726,0.4178943872904761,3.231001264722483e-05,0.12220097051526978
30,0.0005047116741146375,3.284856509580702,3.231001264722483e-05,0.12220097051526978
31,-0.00036658583629746607,-2.5100190042405868,3.231001264722483e-05,0.12220097051526978
32,0.0002105496806997929,1.9061074499468884,3.231001264722483e-05,0.12220097051526978
33,-0.00046200635727556525,-1.9473084740458622,3.231001264722483e-05,0.12220097051526978
34,0.00018310920353479637,0.6382589887812723,3.231001264722483e-05,0.12220097051526978
35,-0.0003135958845445172,-1.4021869484712322,3.231001264722483e-05,0.12220097051526978
36,-0.0004581563188865009,-2.5001274960112503,3.231001264722483e-05,0.12220097051526978
37,-0.00023340045013733293,-0.822910007269309,3.231001264722483e-05,0.12220097051526978
38,6.342242158148576e-05,0.19883118081903214,3.231001264722483e-05,0.12220097051526978
39,0.00017127210659642392,0.7027018834100991,3.231001264722483e-05,0.12220097051526978
40,-6.66831008898406e-05,-0.1558905522586008,3.231001264722483e-05,0.12220097051526978
41,-0.0004396254051627998,-1.899876075892703,3.231001264722483e-05,0.12220097051526978
42,0.0001097242985027823,0.330987108555871,3.231001264722483e-05,0.12220097051526978
43,-0.00048024946666884737,-3.0473065553384875,3.231001264722483e-05,0.12220097051526978
44,0.00037925739531224776,1.541509957581192,3.231001264722483e-05,0.12220097051526978
45,-0.0003289222418276523,-4.115423886048049,3.231001264722483e-05,0.12220097051526978
46,-9.59028807908342e-05,-0.4409374810204592,3.231001264722483e-05,0.12220097051526978
47,0.0001870857333098782,0.5571074233971303,3.231001264722483e-05,0.12220097051526978
48,0.00023425675686101845,0.8194438485362422,3.231001264722483e-05,0.12220097051526978
49,-0.00014845297062086497,-0.5494416429865617,3.231001264722483e-05,0.12220097051526978
50,-0.0007425917833784435,-2.9769739077424653,3.231001264722483e-05,0.12220097051526978
51,0.0005043881998028643,5.344937250801347,3.231001264722483e-05,0.12220097051526978
52,0.00039239627702847095,3.6414578530695176,3.231001264722483e-05,0.12220097051526978
53,-0.00022314839513155283,-1.2244974679146698,3.231001264722483e-05,0.12220097051526978
54,-9.104305398912989e-05,-0.2899980049925702,3.231001264722483e-05,0.12220097051526978
55,-0.0002243132856870199,-1.1217202003931497,3.231001264722483e-05,0.12220097051526978
56,0.00020418474852051962,1.0005358176081711,3.231001264722483e-05,0.12220097051526978
57,-0.0001847101919143974,-0.5390990222505438,3.231001264722483e-05,0.12220097051526978
58,4.2452391757102466e-05,0.14845199547847954,3.231001264722483e-05,0.12220097051526978
59,0.00016966032967927728,0.9066847949701227,3.231001264722483e-05,0.12220097051526978
60,0.00043813994845733506,2.2191284391857447,3.231001264722483e-05,0.12220097051526978
61,-0.00010170329434695242,-0.373710199053783,3.231001264722483e-05,0.12220097051526978
62,-0.00019656487146451978,-0.5998613854048364,3.231001264722483e-05,0.12220097051526978
63,0.0001703239911304442,0.5244237062425635,3.231001264722483e-05,0.12220097051526978
64,-7.445499095174222e-05,-0.27211130027092484,3.231001264722483e-05,0.12220097051526978
