tag,month_id,n_questions,high_tag,exposure_index,post_chatgpt,first_answer_1d_rate,first_answer_1d_denom,any_answer_7d_rate,any_answer_7d_denom,any_pos_answer_7d_rate,any_pos_answer_7d_denom,first_positive_answer_7d_rate,first_positive_answer_7d_denom,first_positive_answer_latency_mean,first_positive_answer_latency_denom,max_answer_score_30d_zero_mean,max_answer_score_30d_zero_denom,max_answer_score_30d_answered_mean,max_answer_score_30d_answered_denom,accepted_cond_any_answer_30d_rate,accepted_cond_any_answer_30d_denom,accepted_vote_30d_rate,accepted_vote_30d_denom,high_post,time_index
android,2020-01,6067,0,-0.5824723369899437,0,0.6171089500576892,6067.0,0.688478655018955,6067.0,0.3855282676776001,6067.0,0.3855282676776001,6067.0,757.9872177381834,2701.0,1.182627328168782,6067.0,1.6396252285191957,4376.0,0.4547531992687386,4376.0,0.19268172078457227,6067.0,0,1
android,2020-02,5792,0,-0.5824723369899437,0,0.6084254143646409,5792.0,0.6818024861878453,5792.0,0.36377762430939226,5792.0,0.36377762430939226,5792.0,695.578978982081,2471.0,1.319060773480663,5792.0,1.8378638441183546,4157.0,0.4527303343757517,4157.0,0.19457872928176795,5792.0,0,2
android,2020-03,6088,0,-0.5824723369899437,0,0.586892247043364,6088.0,0.6652431011826544,6088.0,0.3331143232588699,6088.0,0.3331143232588699,6088.0,815.043134436875,2422.0,1.2977989487516426,6088.0,1.8542595634827506,4261.0,0.44496597042947666,4261.0,0.1859395532194481,6088.0,0,3
android,2020-04,6568,0,-0.5824723369899437,0,0.6074908647990256,6568.0,0.6849878197320342,6568.0,0.34226552984165654,6568.0,0.34226552984165654,6568.0,792.0394861788592,2661.0,1.033952496954933,6568.0,1.4390760754397118,4719.0,0.4551811824539097,4719.0,0.19397076735688185,6568.0,0,4
android,2020-05,6487,0,-0.5824723369899437,0,0.5820872514259288,6487.0,0.6610143363650378,6487.0,0.35008478495452444,6487.0,0.35008478495452444,6487.0,697.8853626743776,2673.0,1.0345305996608603,6487.0,1.4873670212765957,4512.0,0.4658687943262411,4512.0,0.1842145830121782,6487.0,0,5
android,2020-06,5982,0,-0.5824723369899437,0,0.5874289535272484,5982.0,0.6633233032430625,5982.0,0.3510531594784353,5982.0,0.3510531594784353,5982.0,752.3830127208985,2476.0,1.2913741223671014,5982.0,1.8476441042812723,4181.0,0.44726142071274816,4181.0,0.1852223336676697,5982.0,0,6
android,2020-07,5786,0,-0.5824723369899437,0,0.582267542343588,5786.0,0.6664362253715866,5786.0,0.3435879709643968,5786.0,0.3435879709643968,5786.0,665.3821012054551,2379.0,1.3228482544071898,5786.0,1.8796660117878192,4072.0,0.45898821218074654,4072.0,0.1978914621500173,5786.0,0,7
android,2020-08,5045,0,-0.5824723369899437,0,0.5700693756194252,5045.0,0.6604558969276512,5045.0,0.35361744301288406,5045.0,0.35361744301288406,5045.0,660.9448863281496,2122.0,1.2172447968285431,5045.0,1.7269403824521934,3556.0,0.46484814398200225,3556.0,0.21129831516352823,5045.0,0,8
android,2020-09,4868,0,-0.5824723369899437,0,0.5630649137222679,4868.0,0.6507806080525883,4868.0,0.33997534921939193,4868.0,0.33997534921939193,4868.0,731.8670504940137,1986.0,1.310188989317995,4868.0,1.8982142857142856,3360.0,0.45416666666666666,3360.0,0.19350862777321282,4868.0,0,9
android,2020-10,4952,0,-0.5824723369899437,0,0.561389337641357,4952.0,0.6528675282714055,4952.0,0.3398626817447496,4952.0,0.3398626817447496,4952.0,660.4870001778113,1984.0,1.3865105008077545,4952.0,1.9959302325581396,3440.0,0.45494186046511625,3440.0,0.19890953150242327,4952.0,0,10
android,2020-11,4516,0,-0.5824723369899437,0,0.5653232949512843,4516.0,0.6554472984942427,4516.0,0.3640389725420726,4516.0,0.3640389725420726,4516.0,681.83747800165,1953.0,1.7194419840566872,4516.0,2.4697837150127224,3144.0,0.45451653944020354,3144.0,0.18777679362267494,4516.0,0,11
android,2020-12,4516,0,-0.5824723369899437,0,0.562666076173605,4516.0,0.6463684676705048,4516.0,0.3434455270150576,4516.0,0.3434455270150576,4516.0,548.5989775743859,1841.0,1.2969441984056687,4516.0,1.8808606294155428,3114.0,0.45536287732819525,3114.0,0.1970770593445527,4516.0,0,12
android,2021-01,4709,0,-0.5824723369899437,0,0.5901465279252496,4709.0,0.669144191972818,4709.0,0.3508175833510299,4709.0,0.3508175833510299,4709.0,686.6406448856957,1966.0,1.2431514121894245,4709.0,1.7595431319507064,3327.0,0.44785091674180943,3327.0,0.1966447228710979,4709.0,0,13
android,2021-02,4075,0,-0.5824723369899437,0,0.5639263803680982,4075.0,0.645398773006135,4075.0,0.32245398773006134,4075.0,0.32245398773006134,4075.0,910.8036871448953,1577.0,1.2446625766871167,4075.0,1.8172697957721247,2791.0,0.4421354353278395,2791.0,0.18625766871165644,4075.0,0,14
android,2021-03,4483,0,-0.5824723369899437,0,0.5587776042828463,4483.0,0.6506803479812625,4483.0,0.3392817309837163,4483.0,0.3392817309837163,4483.0,716.2683893598967,1830.0,1.6649565023421815,4483.0,2.4139715394566625,3092.0,0.434993531694696,3092.0,0.19005130492973454,4483.0,0,15
android,2021-04,4335,0,-0.5824723369899437,0,0.5727797001153403,4335.0,0.6484429065743945,4335.0,0.34832756632064593,4335.0,0.34832756632064593,4335.0,667.0713130045901,1755.0,1.9051903114186852,4335.0,2.7854974704890387,2965.0,0.4694772344013491,2965.0,0.1944636678200692,4335.0,0,16
android,2021-05,4346,0,-0.5824723369899437,0,0.5508513575701794,4346.0,0.6371375977910723,4346.0,0.34399447768062585,4346.0,0.34399447768062585,4346.0,820.0930070343229,1808.0,1.8414634146341464,4346.0,2.7128813559322036,2950.0,0.4505084745762712,2950.0,0.19765301426599172,4346.0,0,17
android,2021-06,4292,0,-0.5824723369899437,0,0.57618825722274,4292.0,0.6551724137931034,4292.0,0.3515843429636533,4292.0,0.3515843429636533,4292.0,522.7623285275571,1762.0,1.3881640260950605,4292.0,1.9893155258764608,2995.0,0.45175292153589314,2995.0,0.19431500465983226,4292.0,0,18
android,2021-07,4106,0,-0.5824723369899437,0,0.573307355090112,4106.0,0.6619581100828057,4106.0,0.34802727715538234,4106.0,0.34802727715538234,4106.0,693.4757506098434,1709.0,2.2518265952264978,4106.0,3.221602787456446,2870.0,0.4362369337979094,2870.0,0.1972722844617633,4106.0,0,19
android,2021-08,4087,0,-0.5824723369899437,0,0.5532175189625642,4087.0,0.6339613408367996,4087.0,0.35331539026180575,4087.0,0.35331539026180575,4087.0,740.4365708593159,1764.0,1.6461952532419868,4087.0,2.4394488759970994,2758.0,0.43872371283538797,2758.0,0.1881575727917788,4087.0,0,20
android,2021-09,3960,0,-0.5824723369899437,0,0.5434343434343434,3960.0,0.6300505050505051,3960.0,0.34116161616161617,3960.0,0.34116161616161617,3960.0,612.7340774722222,1610.0,1.7363636363636363,3960.0,2.582050319188885,2663.0,0.4386030792339467,2663.0,0.19318181818181818,3960.0,0,21
android,2021-10,3530,0,-0.5824723369899437,0,0.5439093484419264,3530.0,0.6322946175637394,3530.0,0.33087818696883853,3530.0,0.33087818696883853,3530.0,657.3650485453579,1411.0,1.158356940509915,3530.0,1.7108786610878661,2390.0,0.43347280334728033,2390.0,0.19490084985835693,3530.0,0,22
android,2021-11,3630,0,-0.5824723369899437,0,0.5479338842975207,3630.0,0.6316804407713499,3630.0,0.3303030303030303,3630.0,0.3303030303030303,3630.0,626.158877129758,1442.0,1.3239669421487603,3630.0,1.9761513157894737,2432.0,0.44243421052631576,2432.0,0.1925619834710744,3630.0,0,23
android,2021-12,3370,0,-0.5824723369899437,0,0.5287833827893175,3370.0,0.615727002967359,3370.0,0.327893175074184,3370.0,0.327893175074184,3370.0,597.3152782684556,1323.0,1.0433234421364985,3370.0,1.5996360327570518,2198.0,0.4249317561419472,2198.0,0.18338278931750743,3370.0,0,24
