primary_tag,exposure_index,delta_novice_entry_share,combined_weight,actual_coef,actual_tstat,coef_randomization_pval,tstat_randomization_pval
android,-0.5824723369899437,0.11141743931177411,72005.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
apache-spark,0.6785814699695615,0.07626623125298485,6263.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
bash,0.4267372425853595,0.07163643418372301,9233.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
docker,-2.067518990036933,0.06804326461443067,34435.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
excel,0.5121987286806099,0.11472686858369974,15105.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
firebase,-0.8269317640104322,0.0647873772175428,19331.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
javascript,0.484762784788476,0.10617532145210812,199146.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
kubernetes,-1.5867667726106391,0.05818484709074495,12873.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
linux,-0.3486118221209918,0.04718455897701179,16563.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
memory-management,-0.522609519626134,0.09553723956957436,1807.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
multithreading,-1.0198880283282128,0.06532945981221844,7183.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
numpy,0.8626457974180449,0.06679973750410151,2194.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
pandas,1.1493993062473231,0.05444194194194191,6678.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
python,0.3704293899547944,0.0830555444228358,203212.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
regex,1.657307329678494,0.05619418041109328,10315.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
sql,0.8127371844006236,0.07564689255147555,37147.0,0.005334469695411448,0.8432064239543599,0.5591397849462365,0.6259064766191548
