setting,primary_tag,month_id,time_index,n_questions,exposure_index,predicted_exposure_mean,residual_queue_complexity_index_mean,first_answer_1d_rate,accepted_30d_rate,response_cert_gap,post_chatgpt,chatgpt_z,cluster_id,high_post,exposure_chatgpt
stackoverflow,android,2020-01,1.0,4376,-0.5824723369899437,,0.0603749011841349,0.6171089500576892,0.4547531992687386,0.1623557507889506,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-02,2.0,4157,-0.5824723369899437,,0.0510794675753599,0.6084254143646409,0.4527303343757517,0.1556950799888892,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-03,3.0,4261,-0.5824723369899437,,0.0377806813878112,0.586892247043364,0.4449659704294766,0.14192627661388735,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-04,4.0,4719,-0.5824723369899437,,0.0190485373396147,0.6074908647990256,0.4551811824539097,0.15230968234511588,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-05,5.0,4512,-0.5824723369899437,,0.0330252563042341,0.5820872514259288,0.4658687943262411,0.11621845709968764,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-06,6.0,4181,-0.5824723369899437,,0.0214835747636388,0.5874289535272484,0.4472614207127481,0.14016753281450034,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-07,7.0,4072,-0.5824723369899437,,0.0422296323348375,0.582267542343588,0.4589882121807465,0.12327933016284154,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-08,8.0,3556,-0.5824723369899437,,0.0249967011515838,0.5700693756194252,0.4648481439820022,0.10522123163742297,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-09,9.0,3360,-0.5824723369899437,,0.0114923862827735,0.5630649137222679,0.4541666666666666,0.10889824705560125,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-10,10.0,3440,-0.5824723369899437,,-0.002631657815227,0.561389337641357,0.4549418604651162,0.10644747717624081,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-11,11.0,3144,-0.5824723369899437,,-0.0029139660873455,0.5653232949512843,0.4545165394402035,0.11080675551108082,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2020-12,12.0,3114,-0.5824723369899437,,0.0261842263033681,0.562666076173605,0.4553628773281952,0.10730319884540979,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-01,13.0,3327,-0.5824723369899437,,0.0239998511088022,0.5901465279252496,0.4478509167418094,0.1422956111834402,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-02,14.0,2791,-0.5824723369899437,,0.0225630259080181,0.5639263803680982,0.4421354353278395,0.12179094504025867,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-03,15.0,3092,-0.5824723369899437,,-0.0055998801944107,0.5587776042828463,0.434993531694696,0.12378407258815027,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-04,16.0,2965,-0.5824723369899437,,0.0307488032845654,0.5727797001153403,0.4694772344013491,0.10330246571399121,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-05,17.0,2950,-0.5824723369899437,,0.0046956582974475,0.5508513575701794,0.4505084745762712,0.10034288299390826,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-06,18.0,2995,-0.5824723369899437,,-0.0061716972178062,0.57618825722274,0.4517529215358931,0.12443533568684695,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-07,19.0,2870,-0.5824723369899437,,0.0477869938608817,0.573307355090112,0.4362369337979094,0.1370704212922026,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-08,20.0,2758,-0.5824723369899437,,0.0023334153749808,0.5532175189625642,0.4387237128353879,0.1144938061271763,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-09,21.0,2663,-0.5824723369899437,,0.0192598328226073,0.5434343434343434,0.4386030792339467,0.10483126420039668,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-10,22.0,2390,-0.5824723369899437,,0.0060213755331164,0.5439093484419264,0.4334728033472803,0.11043654509464612,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-11,23.0,2432,-0.5824723369899437,,0.0021964041478486,0.5479338842975207,0.4424342105263157,0.10549967377120495,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2021-12,24.0,2198,-0.5824723369899437,,-0.0061969808188655,0.5287833827893175,0.4249317561419472,0.10385162664737024,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2022-01,25.0,2493,-0.5824723369899437,,0.0058299187002583,0.529381039435884,0.4263939029281989,0.1029871365076851,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2022-02,26.0,2266,-0.5824723369899437,,-0.0218632093833569,0.5252293577981652,0.4227714033539276,0.10245795444423755,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2022-03,27.0,2288,-0.5824723369899437,,-0.0078105075865929,0.5075034106412005,0.4471153846153846,0.060388026025815944,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
stackoverflow,android,2022-04,28.0,2100,-0.5824723369899437,,-0.0108648858593811,0.5229217603911981,0.4142857142857143,0.10863604610548377,0,-1.0265186621478888,stackoverflow::android,-0.0,0.5979187241050713
