months_since_first_ai_hit,user_months,answerer_share,answer_count_mean,accepted_current_mean,answer_exposure_mean,answer_high_share_mean,answer_expert_share_mean
-6,1933,0.00982928091050181,0.03569580962234868,0.012415933781686497,0.33477978402701447,0.21747076023391815,0.5259502923976608
-5,1938,0.010319917440660475,0.047987616099071206,0.015479876160990712,0.35514991789059386,0.3021212121212121,0.4
-4,1944,0.0102880658436214,0.05555555555555555,0.022119341563786008,0.348571394410193,0.256344537815126,0.5970588235294118
-3,1951,0.008713480266529985,0.04920553562275756,0.018452075858534086,0.399853425389933,0.25735294117647056,0.6470588235294118
-2,1955,0.009207161125319692,0.03682864450127877,0.01381074168797954,0.35945564673542457,0.30998389694041867,0.6433172302737521
-1,1963,0.00815078960774325,0.026999490575649515,0.00967906265919511,0.3918669014861097,0.1875,0.4375
0,1969,0.023869984763839513,0.06043676993397664,0.025393600812595226,0.3953481811571465,0.15691489361702127,0.3723404255319149
1,1956,0.011247443762781187,0.03016359918200409,0.008691206543967281,0.4133265606913057,0.16774891774891776,0.5
2,1947,0.008217770929635337,0.032357473035439135,0.012840267077555213,0.3986230440655942,0.28509358288770054,0.6213235294117647
3,1937,0.007227671657201859,0.022715539494062985,0.007227671657201859,0.4051675323863147,0.18274582560296845,0.42857142857142855
4,1932,0.010351966873706004,0.031055900621118012,0.008799171842650104,0.37523659452323876,0.18095238095238095,0.6
5,1917,0.007303077725612937,0.02190923317683881,0.004694835680751174,0.3717882975719086,0.16071428571428573,0.7142857142857143
6,1906,0.01049317943336831,0.032004197271773345,0.009968520461699895,0.4104712687056192,0.2541666666666667,0.6
