primary_tag,month_id,n_questions,time_index,high_tag,exposure_index,predicted_exposure_mean,residual_queue_complexity_index_mean,first_answer_1d_rate,first_answer_1d_denom,first_answer_7d_rate,first_answer_7d_denom,accepted_30d_rate,accepted_30d_denom,response_cert_gap,post_chatgpt,high_post,chatgpt_z
awk,2020-01,24,1,1,4.381889664988909,4.330637966543422,0.5208333333333334,0.5416666666666666,24.0,0.5833333333333334,24.0,0.25,24.0,0.29166666666666663,0,0,-1.0265186621478888
awk,2020-02,22,2,1,4.381889664988909,4.371939847228864,0.5227272727272728,0.36363636363636365,22.0,0.36363636363636365,22.0,0.4090909090909091,22.0,-0.04545454545454547,0,0,-1.0265186621478888
awk,2020-03,14,3,1,4.381889664988909,4.340195714367028,0.5357142857142857,0.35714285714285715,14.0,0.35714285714285715,14.0,0.2857142857142857,14.0,0.07142857142857145,0,0,-1.0265186621478888
awk,2020-04,27,4,1,4.381889664988909,4.362423342294899,0.5185185185185185,0.37037037037037035,27.0,0.37037037037037035,27.0,0.4444444444444444,27.0,-0.07407407407407407,0,0,-1.0265186621478888
awk,2020-05,25,5,1,4.381889664988909,4.408816835543359,0.52,0.4,25.0,0.44,25.0,0.24,25.0,0.16000000000000003,0,0,-1.0265186621478888
awk,2020-06,26,6,1,4.381889664988909,4.444818579067019,0.5192307692307693,0.4230769230769231,26.0,0.46153846153846156,26.0,0.23076923076923078,26.0,0.1923076923076923,0,0,-1.0265186621478888
awk,2020-07,20,7,1,4.381889664988909,4.389093330142414,0.525,0.5,20.0,0.5,20.0,0.2,20.0,0.3,0,0,-1.0265186621478888
awk,2020-08,15,8,1,4.381889664988909,4.271750494790779,0.5333333333333333,0.5333333333333333,15.0,0.5333333333333333,15.0,0.4,15.0,0.1333333333333333,0,0,-1.0265186621478888
awk,2020-09,17,9,1,4.381889664988909,4.313544924667012,0.5294117647058824,0.5294117647058824,17.0,0.5294117647058824,17.0,0.35294117647058826,17.0,0.1764705882352941,0,0,-1.0265186621478888
awk,2020-10,16,10,1,4.381889664988909,4.372492886374461,0.53125,0.3125,16.0,0.3125,16.0,0.25,16.0,0.0625,0,0,-1.0265186621478888
