month_id,high_tag,questions,ai_title_questions,ai_title_share
2020-01,0,10931,6.0,0.0005488976305918946
2020-01,1,38123,69.0,0.0018099310127744407
2020-01,,6697,9.0,0.0013438853217858744
2020-02,0,10461,15.0,0.0014338973329509608
2020-02,1,37958,64.0,0.0016860740818799725
2020-02,,6753,4.0,0.0005923293351103214
2020-03,0,11254,8.0,0.0007108583614714769
2020-03,1,42273,65.0,0.0015376244884441606
2020-03,,7278,2.0,0.0002748007694421544
2020-04,0,12638,13.0,0.0010286437727488526
2020-04,1,50062,78.0,0.0015580679956853501
2020-04,,8765,7.0,0.0007986309184255561
2020-05,0,12963,16.0,0.0012342821877651777
2020-05,1,51574,80.0,0.0015511691937798115
2020-05,,9250,7.0,0.0007567567567567568
2020-06,0,12015,9.0,0.000749063670411985
2020-06,1,47711,86.0,0.0018025193351637987
2020-06,,8662,5.0,0.0005772338951743247
2020-07,0,11604,14.0,0.001206480523957256
2020-07,1,46623,71.0,0.0015228535272290501
2020-07,,8383,7.0,0.0008350232613622808
2020-08,0,10262,8.0,0.0007795751315533034
2020-08,1,41702,65.0,0.0015586782408517578
2020-08,,7199,4.0,0.0005556327267676066
2020-09,0,9544,15.0,0.0015716680637049454
2020-09,1,39361,57.0,0.0014481339396864917
2020-09,,6905,4.0,0.0005792903692976104
2020-10,0,9613,15.0,0.0015603869759700407
2020-10,1,39931,73.0,0.0018281535648994515
2020-10,,7190,4.0,0.0005563282336578582
2020-11,0,8708,10.0,0.0011483693155718878
2020-11,1,38470,55.0,0.0014296854691967767
2020-11,,6835,3.0,0.0004389173372348208
2020-12,0,8779,11.0,0.00125299008998747
2020-12,1,38858,52.0,0.0013382057748726132
2020-12,,6469,4.0,0.0006183335909723295
2021-01,0,9471,5.0,0.0005279273571956499
2021-01,1,40224,60.0,0.0014916467780429594
2021-01,,6516,7.0,0.001074278698588091
2021-02,0,8650,9.0,0.0010404624277456647
2021-02,1,37329,60.0,0.0016073294221650727
2021-02,,6439,3.0,0.00046591085572293835
2021-03,0,9686,7.0,0.0007226925459425976
2021-03,1,41232,64.0,0.0015521924718665113
2021-03,,7587,7.0,0.00092263081586925
2021-04,0,8947,11.0,0.0012294623896278083
2021-04,1,38693,61.0,0.00157651254748921
2021-04,,6847,2.0,0.0002920987293705272
2021-05,0,8885,9.0,0.0010129431626336523
2021-05,1,38234,49.0,0.001281581838154522
2021-05,,6947,8.0,0.001151576219951058
2021-06,0,8537,8.0,0.000937097340986295
2021-06,1,36471,53.0,0.001453209399248718
2021-06,,6663,3.0,0.00045024763619990995
2021-07,0,8401,10.0,0.0011903344839900012
2021-07,1,35786,64.0,0.0017884088749790421
2021-07,,6385,3.0,0.00046985121378230227
2021-08,0,8241,10.0,0.0012134449702705982
2021-08,1,34893,53.0,0.001518929298140028
2021-08,,6298,3.0,0.000476341695776437
2021-09,0,8017,8.0,0.0009978795060496446
2021-09,1,33530,56.0,0.0016701461377870565
2021-09,,6113,1.0,0.0001635858007524947
2021-10,0,7574,5.0,0.0006601531555320834
2021-10,1,33553,34.0,0.001013322206658123
2021-10,,6086,3.0,0.0004929346040092015
2021-11,0,7577,10.0,0.0013197835554968984
2021-11,1,33649,51.0,0.0015156468245713097
2021-11,,6295,3.0,0.0004765687053216839
2021-12,0,7180,8.0,0.0011142061281337048
2021-12,1,32006,53.0,0.0016559395113416235
2021-12,,5822,5.0,0.0008588114050154586
2022-01,0,7900,7.0,0.0008860759493670886
2022-01,1,33854,55.0,0.001624623382761269
2022-01,,5806,6.0,0.0010334137099552187
2022-02,0,7246,14.0,0.0019321004692243997
2022-02,1,32346,60.0,0.001854943424225561
2022-02,,5897,2.0,0.0003391555027980329
2022-03,0,7707,7.0,0.0009082652134423251
2022-03,1,34211,67.0,0.0019584344216772385
2022-03,,6571,1.0,0.00015218383807639628
2022-04,0,6901,10.0,0.0014490653528474134
2022-04,1,33312,68.0,0.002041306436119116
2022-04,,6047,2.0,0.000330742516950554
2022-05,0,7241,6.0,0.0008286148322054964
2022-05,1,32706,59.0,0.0018039503455023543
2022-05,,6239,2.0,0.00032056419297964416
2022-06,0,6998,15.0,0.002143469562732209
2022-06,1,31440,35.0,0.0011132315521628498
2022-06,,6005,3.0,0.0004995836802664446
2022-07,0,7014,11.0,0.001568291987453664
2022-07,1,31681,53.0,0.0016729269909409425
2022-07,,6053,6.0,0.0009912440112340988
2022-08,0,7162,12.0,0.0016755096341803965
2022-08,1,31813,50.0,0.0015716845314808412
2022-08,,5989,3.0,0.0005009183503088997
2022-09,0,6471,8.0,0.0012362849636841293
2022-09,1,29209,46.0,0.0015748570646033756
2022-10,0,6571,11.0,0.001674022218840359
2022-10,1,30346,50.0,0.0016476636129967705
2022-10,,5699,6.0,0.001052816283558519
2022-11,0,6452,9.0,0.0013949163050216986
2022-11,1,31041,46.0,0.0014819110209078315
2022-12,0,5973,4.0,0.0006696802276912774
2022-12,1,26442,69.0,0.0026094849103698663
2022-12,,4709,4.0,0.0008494372478233171
2023-01,0,6125,11.0,0.0017959183673469388
2023-01,1,25821,56.0,0.002168777351767941
2023-01,,4468,4.0,0.0008952551477170994
2023-02,0,5398,8.0,0.0014820303816228233
2023-02,1,22150,70.0,0.003160270880361174
2023-02,,3962,2.0,0.0005047955577990914
2023-03,0,5608,9.0,0.0016048502139800285
2023-03,1,22192,92.0,0.00414563806777217
2023-03,,3806,6.0,0.0015764582238570678
2023-04,0,4511,7.0,0.0015517623586787852
2023-04,1,17164,81.0,0.004719179678396644
2023-04,,2800,1.0,0.00035714285714285714
2023-05,0,4403,9.0,0.0020440608675902795
2023-05,1,16311,85.0,0.005211207160811722
2023-05,,2680,1.0,0.00037313432835820896
2023-06,0,4209,11.0,0.002613447374673319
2023-06,1,15728,80.0,0.00508646998982706
2023-06,,2515,2.0,0.0007952286282306163
2023-07,0,4244,7.0,0.001649387370405278
2023-07,1,15383,81.0,0.005265552883052721
2023-07,,2438,3.0,0.0012305168170631665
2023-08,0,4078,4.0,0.000980872976949485
2023-08,1,14168,51.0,0.0035996612083568605
2023-09,0,3665,6.0,0.0016371077762619372
2023-09,1,12238,56.0,0.004575911096584409
2023-09,,1893,4.0,0.0021130480718436345
2023-10,0,3587,3.0,0.0008363534987454698
2023-10,1,12046,66.0,0.005478997177486303
2023-10,,1831,4.0,0.002184598580010923
2023-11,0,3433,3.0,0.000873871249635887
2023-11,1,11563,80.0,0.006918619735362795
2023-11,,1782,2.0,0.001122334455667789
2023-12,0,2950,8.0,0.002711864406779661
2023-12,1,9900,62.0,0.006262626262626263
2023-12,,1408,2.0,0.0014204545454545455
2024-01,0,3198,6.0,0.001876172607879925
2024-01,1,10869,77.0,0.007084368387156132
2024-01,,1612,4.0,0.0024813895781637717
2024-02,0,3127,5.0,0.0015989766549408379
2024-02,1,10563,57.0,0.005396194262993468
2024-02,,1549,3.0,0.001936733376371853
2024-03,0,2890,7.0,0.002422145328719723
2024-03,1,10277,64.0,0.0062274982971684345
2024-03,,1479,3.0,0.002028397565922921
2024-04,0,2705,5.0,0.0018484288354898336
2024-04,1,9623,80.0,0.008313415774706432
2024-04,,1389,3.0,0.0021598272138228943
2024-05,0,2771,5.0,0.001804402742692169
2024-05,1,9206,68.0,0.007386487073647621
2024-05,,1347,1.0,0.0007423904974016332
2024-06,0,2145,4.0,0.0018648018648018648
2024-06,1,6954,50.0,0.007190106413574921
2024-06,,1006,1.0,0.0009940357852882703
2024-07,0,2159,2.0,0.0009263547938860583
2024-07,1,6854,48.0,0.007003209804493727
2024-07,,979,3.0,0.0030643513789581204
2024-08,0,1927,6.0,0.0031136481577581734
2024-08,1,6035,43.0,0.007125103562551781
2024-08,,886,1.0,0.001128668171557562
2024-09,0,1815,3.0,0.001652892561983471
2024-09,1,5183,32.0,0.006174030484275516
2024-09,,752,1.0,0.0013297872340425532
2024-10,0,1602,6.0,0.003745318352059925
2024-10,1,4717,31.0,0.006571973712105152
2024-10,,631,2.0,0.003169572107765452
2024-11,0,1462,3.0,0.002051983584131327
2024-11,1,4159,29.0,0.006972830007213273
2024-11,,577,3.0,0.005199306759098787
2024-12,0,1261,7.0,0.0055511498810467885
2024-12,1,3673,26.0,0.007078682276068609
2025-01,0,1578,4.0,0.0025348542458808617
2025-01,1,4311,29.0,0.006726977499420088
2025-01,,555,2.0,0.0036036036036036037
2025-02,0,1461,6.0,0.004106776180698152
2025-02,1,3537,25.0,0.007068136839129205
2025-03,0,1371,8.0,0.005835156819839533
2025-03,1,3576,31.0,0.008668903803131992
2025-04,0,1039,2.0,0.0019249278152069298
2025-04,1,2677,11.0,0.004109077325364214
2025-05,0,838,1.0,0.0011933174224343676
2025-05,1,2207,18.0,0.008155867693701857
2025-05,,280,1.0,0.0035714285714285713
2025-06,0,677,1.0,0.0014771048744460858
2025-06,1,1680,21.0,0.0125
2025-06,,220,1.0,0.004545454545454545
2025-07,0,626,2.0,0.003194888178913738
2025-07,1,1460,8.0,0.005479452054794521
2025-08,0,447,3.0,0.006711409395973154
2025-08,1,1078,10.0,0.00927643784786642
2025-08,,143,1.0,0.006993006993006993
2025-09,1,1073,10.0,0.009319664492078284
2025-10,0,390,3.0,0.007692307692307693
2025-10,1,975,10.0,0.010256410256410256
2025-11,0,326,3.0,0.009202453987730062
2025-11,1,798,7.0,0.008771929824561403
2025-12,0,306,3.0,0.00980392156862745
2025-12,1,683,9.0,0.013177159590043924
